TimeGMT,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC
12:20 AM,7.0,4.0,81,1033,10.0,North,11.1,-,N/A,,Mostly Cloudy,360,2011-01-24 00:20:00
12:50 AM,7.0,4.0,81,1033,10.0,North,11.1,-,N/A,,Mostly Cloudy,360,2011-01-24 00:50:00
1:20 AM,7.0,4.0,81,1033,10.0,North,11.1,-,N/A,,Mostly Cloudy,360,2011-01-24 01:20:00
1:50 AM,6.0,4.0,87,1033,10.0,North,13.0,-,N/A,,Mostly Cloudy,360,2011-01-24 01:50:00
2:20 AM,6.0,5.0,93,1033,10.0,North,9.3,-,N/A,,Mostly Cloudy,360,2011-01-24 02:20:00
2:50 AM,7,5,83,1034,12,North,13.0,,,,Mostly Cloudy,0,2011-01-24 02:50:00
2:50 AM,7.0,4.0,81,1033,9.0,North,11.1,-,N/A,,Mostly Cloudy,360,2011-01-24 02:50:00
3:20 AM,7.0,4.0,81,1033,9.0,North,11.1,-,N/A,,Mostly Cloudy,360,2011-01-24 03:20:00
3:50 AM,7.0,4.0,81,1033,10.0,North,13.0,-,N/A,,Mostly Cloudy,360,2011-01-24 03:50:00
4:20 AM,7.0,4.0,81,1033,10.0,North,11.1,-,N/A,,Mostly Cloudy,360,2011-01-24 04:20:00
4:50 AM,7.0,4.0,81,1033,10.0,North,13.0,-,N/A,,Mostly Cloudy,360,2011-01-24 04:50:00
5:20 AM,6.0,4.0,87,1033,10.0,North,13.0,-,N/A,,Mostly Cloudy,360,2011-01-24 05:20:00
5:50 AM,6,4,76,1033,18,North,14.8,,,,,0,2011-01-24 05:50:00
5:50 AM,6.0,4.0,87,1033,10.0,North,13.0,-,N/A,,Mostly Cloudy,360,2011-01-24 05:50:00
6:20 AM,6.0,3.0,81,1033,10.0,North,13.0,-,N/A,,Scattered Clouds,10,2011-01-24 06:20:00
6:50 AM,6.0,3.0,81,1033,10.0,North,11.1,-,N/A,,Scattered Clouds,10,2011-01-24 06:50:00
7:20 AM,6.0,3.0,81,1033,10.0,North,11.1,-,N/A,,Scattered Clouds,10,2011-01-24 07:20:00
7:50 AM,6.0,3.0,81,1033,10.0,North,9.3,-,N/A,,Scattered Clouds,10,2011-01-24 07:50:00
8:20 AM,6.0,3.0,81,1033,-9999.0,North,11.1,-,N/A,,Clear,360,2011-01-24 08:20:00
8:50 AM,6,3,76,1033,20,North,11.1,,,,Overcast,350,2011-01-24 08:50:00
8:50 AM,6.0,3.0,81,1033,-9999.0,North,11.1,-,N/A,,Clear,360,2011-01-24 08:50:00
9:20 AM,6.0,3.0,81,1033,-9999.0,North,7.4,-,N/A,,Clear,350,2011-01-24 09:20:00
