week,quantity,temperature,humidity,visibility,wind_speed,condition
1,0,19,65,9,10,0.83
1,0,19,65,9,10,0.83
2,0,17,62,9,11,0.77
3,0,16,74,9,11,0.77
4,0,18,62,8,13,0.74
5,0,16,69,9,19,0.83
6,0,15,70,9,13,0.83
7,0,16,71,8,9,0.54
8,0,18,67,10,21,0.94
9,0,17,61,9,16,0.71
10,0,9,65,9,12,0.71
11,0,12,74,9,11,0.83
12,0,15,71,9,20,0.89
13,0,12,81,8,13,0.77
14,0,8,90,6,6,0.43
15,0,9,82,8,14,0.83
16,0,10,88,5,6,0.66
17,0,6,77,10,19,0.83
18,0,4,88,9,16,0.69
19,0,7,71,7,13,0.66
20,0,6,78,8,22,0.57
