date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,121,-2,94,3,14,0
2010-12-3,26,-4,92,5,11,0.2
2010-12-5,33,2,91,9,6,1
2010-12-6,0,-3,98,1,2,0.2
2010-12-7,53,-2,91,9,3,1
2010-12-8,16,0,90,8,14,1
2010-12-9,48,1,77,10,16,1
2010-12-10,0,4,85,10,13,1
2010-12-12,3,3,90,9,8,1
2010-12-13,0,2,91,9,3,0.2
2010-12-14,0,1,81,9,8,1
2010-12-16,2,3,88,9,19,1
2010-12-17,12,-3,88,10,14,1
2010-12-19,0,-2,87,10,11,0
2010-12-20,0,-4,89,7,3,1
2010-12-21,0,1,96,6,6,1
2011-1-5,0,6,81,9,19,0.6
2011-1-6,0,4,94,7,5,0.6
2011-1-9,24,4,74,,16,1
2011-1-13,24,12,91,9,23,0.6
2011-1-17,24,8,92,8,10,0.6
2011-1-19,0,3,88,9,8,1
2011-1-20,3,3,90,9,11,0.6
2011-1-25,0,6,91,9,10,0.6
2011-1-28,-24,1,74,10,18,1
2011-1-31,0,2,81,10,2,1
2011-2-2,0,6,86,8,14,0.2
2011-2-4,12,11,69,10,39,1
2011-2-7,0,9,69,10,27,1
2011-2-8,0,4,74,9,5,0.2
2011-2-9,0,4,80,8,6,1
2011-2-17,0,7,86,2,10,0.2
2011-2-21,0,6,84,5,10,1
2011-2-23,24,8,95,5,13,0.6
2011-2-28,2,3,89,5,13,0.6
2011-3-4,0,3,79,9,14,1
2011-3-7,5,4,64,,10,1
2011-3-8,0,4,62,3,10,0.2
2011-3-9,0,8,61,10,23,1
2011-3-13,0,10,90,8,10,0.6
2011-3-15,0,7,97,0,13,0.2
2011-3-16,0,7,92,2,14,0.2
2011-3-17,0,6,87,5,8,1
2011-3-21,0,12,70,10,5,1
2011-3-22,1,12,64,9,5,1
2011-3-23,30,10,76,10,5,1
2011-3-24,0,9,70,9,8,1
2011-3-25,0,10,75,8,5,1
2011-3-28,24,8,64,10,5,1
2011-4-4,0,9,62,10,19,1
2011-4-5,24,10,84,10,24,0.6
2011-4-6,24,18,50,10,19,1
2011-4-7,0,16,63,10,13,1
2011-4-8,28,13,57,,6,1
2011-4-11,0,13,62,10,10,0.6
2011-4-15,0,11,62,10,5,1
2011-4-18,0,11,71,4,6,1
2011-4-19,24,14,63,8,5,1
2011-4-26,0,12,71,10,14,1
2011-4-27,0,11,58,10,16,1
2011-4-28,0,11,73,10,18,0.6
2011-5-4,0,7,65,10,8,1
2011-5-5,0,12,62,8,6,1
2011-5-6,0,14,54,,6,1
2011-5-8,24,17,65,10,11,0.6
2011-5-12,0,13,57,10,14,1
2011-5-16,0,16,62,10,18,0.6
2011-5-18,0,16,76,10,16,1
2011-5-20,0,14,56,10,10,1
2011-5-22,48,14,55,10,24,0.6
2011-5-23,12,15,61,10,23,0.6
2011-6-1,0,13,55,10,6,1
2011-6-2,0,14,66,10,8,1
2011-6-8,0,13,65,10,19,0.6
2011-6-10,0,11,73,10,6,1
2011-6-16,0,14,76,10,16,0.6
2011-6-20,0,13,80,10,6,0.6
2011-6-23,2,14,65,10,18,0.6
2011-6-26,24,19,78,9,6,1
2011-6-28,0,20,82,9,8,1
2011-6-29,96,16,57,10,13,1
2011-6-30,0,15,57,10,10,1
2011-7-1,24,,,10,8,1
2011-7-4,0,14,62,10,6,1
2011-7-5,1,17,66,9,6,0.6
2011-7-8,0,17,72,10,19,0.6
2011-7-13,0,14,64,10,14,0.6
2011-7-14,0,16,64,10,14,1
2011-7-20,10,16,73,9,6,0.6
2011-7-27,0,17,74,10,11,1
2011-7-28,0,19,73,9,6,1
2011-8-2,180,21,55,10,5,1
2011-8-3,0,23,53,8,6,1
2011-8-5,36,20,68,10,10,1
2011-8-12,0,19,72,10,8,1
2011-8-15,0,18,52,10,11,0.6
2011-8-16,0,18,67,10,18,1
2011-8-17,0,18,59,10,10,0.6
2011-8-21,0,21,60,9,8,1
2011-8-22,0,18,64,10,8,1
2011-8-25,0,18,68,10,13,1
2011-8-30,0,14,66,10,10,1
2011-9-4,0,17,77,10,14,0.6
2011-9-5,25,16,62,10,27,1
2011-9-6,0,17,81,10,32,0.6
2011-9-7,0,14,63,10,27,0.6
2011-9-11,0,18,64,10,24,1
2011-9-13,0,17,59,10,26,1
2011-9-19,24,14,64,10,18,1
2011-9-21,24,16,74,9,11,0.6
2011-9-22,4,16,60,10,14,1
2011-9-23,0,14,67,10,10,1
2011-9-25,0,17,68,10,16,0.2
2011-9-26,24,20,73,10,14,1
2011-9-27,1,17,80,7,5,0.2
2011-9-28,0,17,79,6,5,0.2
2011-9-30,24,18,62,7,5,0.2
2011-10-2,0,19,51,10,6,0.2
2011-10-3,0,21,51,8,16,1
2011-10-4,36,17,69,10,18,1
2011-10-6,0,13,53,10,27,1
2011-10-7,0,12,70,10,19,0.6
2011-10-9,14,18,78,10,21,0.6
2011-10-10,0,18,66,10,34,1
2011-10-11,0,18,71,10,32,1
2011-10-12,25,17,70,10,16,1
2011-10-13,0,14,78,9,11,1
2011-10-14,24,11,59,10,10,1
2011-10-17,1,12,68,10,18,1
2011-10-18,1,10,56,10,21,1
2011-10-19,2,9,62,10,16,0.6
2011-10-20,0,7,65,10,8,1
2011-10-24,24,12,74,10,16,1
2011-10-25,4,13,73,10,8,0.6
2011-10-27,96,12,80,10,8,0.6
2011-10-28,1,12,83,8,5,1
2011-10-30,0,16,82,10,18,1
2011-10-31,0,13,80,10,13,1
2011-11-2,3,13,79,10,13,1
2011-11-3,0,17,82,10,14,0.6
2011-11-4,0,14,81,10,13,0.6
2011-11-7,49,12,84,5,18,1
2011-11-9,26,13,83,10,5,1
2011-11-10,0,11,92,5,6,0.2
2011-11-11,38,9,91,5,10,0.2
2011-11-13,39,11,88,5,8,0.2
2011-11-14,24,9,89,2,8,1
2011-11-15,3,8,82,6,8,0.2
2011-11-16,2,6,92,5,5,0.2
2011-11-17,120,12,86,8,8,1
2011-11-18,0,12,87,10,13,1
2011-11-21,27,6,97,3,3,0.2
2011-11-22,0,11,98,3,2,1
2011-11-23,48,7,89,7,8,0.2
2011-11-24,0,11,87,10,14,1
2011-11-25,12,11,72,10,23,1
2011-11-29,0,11,82,10,29,0.6
2011-11-30,25,9,78,10,16,1
2011-12-1,0,9,85,10,10,0.6
2011-12-2,0,6,87,10,11,1
2011-12-5,12,4,77,10,24,1
2011-12-7,17,7,58,10,31,1
2011-12-8,0,10,85,10,31,0.6
2011-12-9,3,6,70,10,23,1
2011-12-9,0,6,70,10,23,1
