date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,18,-2,94,3,14,0
2010-12-3,97,-4,92,5,11,0.2
2010-12-5,29,2,91,9,6,1
2010-12-6,149,-3,98,1,2,0.2
2010-12-7,102,-2,91,9,3,1
2010-12-8,3,0,90,8,14,1
2010-12-9,51,1,77,10,16,1
2010-12-10,24,4,85,10,13,1
2010-12-12,4,3,90,9,8,1
2010-12-13,0,2,91,9,3,0.2
2010-12-14,12,1,81,9,8,1
2010-12-15,27,2,90,7,11,0.6
2010-12-16,0,3,88,9,19,1
2010-12-17,3,-3,88,10,14,1
2010-12-20,5,-4,89,7,3,1
2010-12-21,24,1,96,6,6,1
2011-1-4,2,3,87,9,6,0.6
2011-1-6,0,4,94,7,5,0.6
2011-1-13,3,12,91,9,23,0.6
2011-1-14,2,10,89,10,26,0.6
2011-1-17,0,8,92,8,10,0.6
2011-1-18,26,4,87,9,8,0.6
2011-1-19,0,3,88,9,8,1
2011-1-23,0,6,90,10,14,0.6
2011-1-24,4,4,86,10,10,0.6
2011-1-25,1,6,91,9,10,0.6
2011-1-26,-48,4,90,9,10,1
2011-1-28,24,1,74,10,18,1
2011-1-30,0,1,80,10,11,1
2011-1-31,0,2,81,10,2,1
2011-2-1,1,3,89,8,11,0.6
2011-2-2,0,6,86,8,14,0.2
2011-2-13,2,7,67,10,18,0.6
2011-2-14,0,8,60,10,14,0.6
2011-2-17,1,7,86,2,10,0.2
2011-2-18,0,4,87,4,10,1
2011-2-21,0,6,84,5,10,1
2011-2-22,0,4,83,5,3,1
2011-2-23,0,8,95,5,13,0.6
2011-2-24,0,11,77,9,10,1
2011-2-25,0,11,82,9,13,1
2011-2-27,0,7,78,10,18,0.6
2011-2-28,0,3,89,5,13,0.6
2011-3-1,6,4,84,8,18,1
2011-3-2,0,4,79,5,18,1
2011-3-3,26,3,80,8,18,1
2011-3-7,1,4,64,,10,1
2011-3-8,0,4,62,3,10,0.2
2011-3-9,24,8,61,10,23,1
2011-3-10,2,10,64,10,27,0.6
2011-3-14,60,7,86,8,13,1
2011-3-16,0,7,92,2,14,0.2
2011-3-17,26,6,87,5,8,1
2011-3-18,1,6,82,9,6,0.6
2011-3-20,24,,,,,1
2011-3-21,0,12,70,10,5,1
2011-3-22,0,12,64,9,5,1
2011-3-23,2,10,76,10,5,1
2011-3-25,24,10,75,8,5,1
2011-3-27,6,8,78,7,14,1
2011-3-28,0,8,64,10,5,1
2011-3-30,13,10,83,8,13,0.6
2011-3-31,3,14,74,10,27,1
2011-4-1,1,13,75,10,24,1
2011-4-5,0,10,84,10,24,0.6
2011-4-6,0,18,50,10,19,1
2011-4-8,6,13,57,,6,1
2011-4-10,0,10,64,8,10,1
2011-4-11,0,13,62,10,10,0.6
2011-4-12,24,9,51,10,21,1
2011-4-13,0,7,61,10,8,0.6
2011-4-14,0,10,66,10,8,1
2011-4-15,0,11,62,10,5,1
2011-4-18,0,11,71,4,6,1
2011-4-19,0,14,63,8,5,1
2011-4-20,59,14,68,7,3,1
2011-4-21,24,13,71,6,5,1
2011-4-26,0,12,71,10,14,1
2011-4-27,-24,11,58,10,16,1
2011-4-28,0,11,73,10,18,0.6
2011-5-1,50,13,64,,21,1
2011-5-3,11,8,57,10,19,1
2011-5-4,0,7,65,10,8,1
2011-5-5,24,12,62,8,6,1
2011-5-6,49,14,54,,6,1
2011-5-8,19,17,65,10,11,0.6
2011-5-9,3,16,59,10,11,1
2011-5-10,19,13,57,10,10,1
2011-5-11,49,12,68,10,6,1
2011-5-13,146,13,58,10,11,1
2011-5-16,32,16,62,10,18,0.6
2011-5-17,0,14,66,10,16,1
2011-5-18,0,16,76,10,16,1
2011-5-23,1,15,61,10,23,0.6
2011-5-24,0,13,48,10,19,1
2011-5-27,0,12,67,10,18,1
2011-6-2,0,14,66,10,8,1
2011-9-22,0,16,60,10,14,1
2011-9-25,0,17,68,10,16,0.2
2011-9-26,0,20,73,10,14,1
2011-9-27,0,17,80,7,5,0.2
2011-9-28,0,17,79,6,5,0.2
2011-9-30,24,18,62,7,5,0.2
2011-10-2,0,19,51,10,6,0.2
2011-10-3,5,21,51,8,16,1
2011-10-4,144,17,69,10,18,1
2011-10-5,0,19,68,10,27,1
2011-10-6,0,13,53,10,27,1
2011-10-7,1,12,70,10,19,0.6
2011-10-9,148,18,78,10,21,0.6
2011-10-10,0,18,66,10,34,1
2011-10-11,48,18,71,10,32,1
2011-10-12,0,17,70,10,16,1
2011-10-13,0,14,78,9,11,1
2011-10-14,1,11,59,10,10,1
2011-10-16,0,9,74,9,3,0.2
2011-10-18,0,10,56,10,21,1
2011-10-19,0,9,62,10,16,0.6
2011-10-21,97,10,67,10,10,1
2011-10-23,0,14,69,10,18,1
2011-10-24,0,12,74,10,16,1
2011-10-25,0,13,73,10,8,0.6
2011-10-26,60,11,79,10,11,0.6
2011-10-27,0,12,80,10,8,0.6
2011-10-28,12,12,83,8,5,1
2011-10-30,0,16,82,10,18,1
2011-10-31,0,13,80,10,13,1
2011-11-1,24,12,77,10,11,0.6
2011-11-2,0,13,79,10,13,1
2011-11-3,0,17,82,10,14,0.6
2011-11-6,0,10,79,10,18,1
2011-11-7,15,12,84,5,18,1
2011-11-8,3,10,85,5,5,1
2011-11-9,55,13,83,10,5,1
2011-11-10,28,11,92,5,6,0.2
2011-11-11,1,9,91,5,10,0.2
2011-11-13,24,11,88,5,8,0.2
2011-11-14,79,9,89,2,8,1
2011-11-15,5,8,82,6,8,0.2
2011-11-16,24,6,92,5,5,0.2
2011-11-17,95,12,86,8,8,1
2011-11-18,27,12,87,10,13,1
2011-11-20,0,7,97,5,2,0.2
2011-11-21,2,6,97,3,3,0.2
2011-11-22,24,11,98,3,2,1
2011-11-23,57,7,89,7,8,0.2
2011-11-24,12,11,87,10,14,1
2011-11-25,9,11,72,10,23,1
2011-11-27,2,10,72,10,23,0.6
2011-11-28,12,4,83,10,8,1
2011-11-29,24,11,82,10,29,0.6
2011-11-30,4,9,78,10,16,1
2011-12-1,7,9,85,10,10,0.6
2011-12-2,24,6,87,10,11,1
2011-12-4,32,7,82,10,18,0.6
2011-12-5,2,4,77,10,24,1
2011-12-6,0,4,80,10,19,0.6
2011-12-7,27,7,58,10,31,1
2011-12-8,0,10,85,10,31,0.6
2011-12-8,30,10,85,10,31,0.6
