date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-3,0,-4,92,5,11,0.2
2010-12-5,22,2,91,9,6,1
2010-12-6,18,-3,98,1,2,0.2
2010-12-7,43,-2,91,9,3,1
2010-12-8,32,0,90,8,14,1
2010-12-9,53,1,77,10,16,1
2010-12-10,20,4,85,10,13,1
2010-12-12,2,3,90,9,8,1
2010-12-13,16,2,91,9,3,0.2
2010-12-14,16,1,81,9,8,1
2010-12-16,20,3,88,9,19,1
2010-12-17,10,-3,88,10,14,1
2010-12-20,30,-4,89,7,3,1
2010-12-23,7,0,82,10,21,1
2011-1-4,0,3,87,9,6,0.6
2011-1-5,0,6,81,9,19,0.6
2011-1-9,0,4,74,,16,1
2011-1-18,0,4,87,9,8,0.6
2011-1-31,0,2,81,10,2,1
2011-2-11,0,10,83,9,11,0.6
2011-2-21,0,6,84,5,10,1
2011-3-7,0,4,64,,10,1
2011-3-17,3,6,87,5,8,1
2011-4-1,0,13,75,10,24,1
2011-4-5,0,10,84,10,24,0.6
2011-4-7,0,16,63,10,13,1
2011-4-8,0,13,57,,6,1
2011-4-18,0,11,71,4,6,1
2011-5-1,0,13,64,,21,1
2011-5-15,0,10,61,10,16,1
2011-5-22,0,14,55,10,24,0.6
2011-6-7,0,16,61,10,14,1
2011-6-8,0,13,65,10,19,0.6
2011-6-19,0,14,64,10,23,0.6
2011-6-22,0,14,73,10,21,0.6
2011-6-29,0,16,57,10,13,1
2011-7-5,0,17,66,9,6,0.6
2011-7-11,1,17,71,10,6,1
2011-7-21,0,16,83,9,5,0.6
2011-7-26,0,16,74,10,6,0.6
2011-7-27,1,17,74,10,11,1
2011-7-31,1,17,60,10,10,1
2011-8-2,0,21,55,10,5,1
2011-8-7,0,17,66,10,19,0.6
2011-8-9,0,16,51,10,14,1
2011-8-11,0,18,78,10,24,1
2011-8-12,8,19,72,10,8,1
2011-8-17,0,18,59,10,10,0.6
2011-8-18,0,14,78,10,14,0.6
2011-8-21,8,21,60,9,8,1
2011-8-23,0,16,92,6,10,0.6
2011-8-28,0,16,71,10,16,0.6
2011-8-30,0,14,66,10,10,1
2011-8-31,3,14,68,10,3,1
2011-9-4,0,17,77,10,14,0.6
2011-9-5,0,16,62,10,27,1
2011-9-8,0,17,71,10,19,1
2011-9-9,0,19,79,10,14,1
2011-9-11,0,18,64,10,24,1
2011-9-12,16,19,68,10,32,1
2011-9-13,16,17,59,10,26,1
2011-9-14,0,16,57,10,19,1
2011-9-15,0,13,66,10,5,1
2011-9-16,8,18,70,10,13,1
2011-9-19,8,14,64,10,18,1
2011-9-20,16,18,75,10,23,1
2011-9-21,0,16,74,9,11,0.6
2011-9-22,4,16,60,10,14,1
2011-9-23,8,14,67,10,10,1
2011-9-25,8,17,68,10,16,0.2
2011-9-27,16,17,80,7,5,0.2
2011-9-28,0,17,79,6,5,0.2
2011-9-29,12,18,68,6,3,0.2
2011-9-30,0,18,62,7,5,0.2
2011-10-2,0,19,51,10,6,0.2
2011-10-3,0,21,51,8,16,1
2011-10-4,0,17,69,10,18,1
2011-10-5,32,19,68,10,27,1
2011-10-7,24,12,70,10,19,0.6
2011-10-10,0,18,66,10,34,1
2011-10-11,42,18,71,10,32,1
2011-10-13,0,14,78,9,11,1
2011-10-14,8,11,59,10,10,1
2011-10-16,6,9,74,9,3,0.2
2011-10-17,0,12,68,10,18,1
2011-10-18,9,10,56,10,21,1
2011-10-19,0,9,62,10,16,0.6
2011-10-20,4,7,65,10,8,1
2011-10-21,0,10,67,10,10,1
2011-10-23,0,14,69,10,18,1
2011-10-24,19,12,74,10,16,1
2011-10-26,7,11,79,10,11,0.6
2011-10-27,6,12,80,10,8,0.6
2011-10-28,16,12,83,8,5,1
2011-10-30,0,16,82,10,18,1
2011-10-31,32,13,80,10,13,1
2011-11-1,14,12,77,10,11,0.6
2011-11-2,9,13,79,10,13,1
2011-11-3,9,17,82,10,14,0.6
2011-11-4,21,14,81,10,13,0.6
2011-11-6,1,10,79,10,18,1
2011-11-7,56,12,84,5,18,1
2011-11-8,163,10,85,5,5,1
2011-11-9,0,13,83,10,5,1
2011-11-10,6,11,92,5,6,0.2
2011-11-11,12,9,91,5,10,0.2
2011-11-13,4,11,88,5,8,0.2
2011-11-14,19,9,89,2,8,1
2011-11-15,427,8,82,6,8,0.2
2011-11-16,34,6,92,5,5,0.2
2011-11-17,3,12,86,8,8,1
2011-11-18,23,12,87,10,13,1
2011-11-20,8,7,97,5,2,0.2
2011-11-21,35,6,97,3,3,0.2
2011-11-22,9,11,98,3,2,1
2011-11-23,26,7,89,7,8,0.2
2011-11-24,9,11,87,10,14,1
2011-11-25,105,11,72,10,23,1
2011-11-27,34,10,72,10,23,0.6
2011-11-28,1,4,83,10,8,1
2011-11-29,65,11,82,10,29,0.6
2011-11-30,1,9,78,10,16,1
2011-12-1,4,9,85,10,10,0.6
2011-12-2,16,6,87,10,11,1
2011-12-4,0,7,82,10,18,0.6
2011-12-5,2,4,77,10,24,1
2011-12-6,74,4,80,10,19,0.6
2011-12-7,0,7,58,10,31,1
2011-12-8,8,10,85,10,31,0.6
2011-12-8,2,10,85,10,31,0.6
