date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,0,-2,94,3,14,0
2010-12-3,0,-4,92,5,11,0.2
2010-12-5,0,2,91,9,6,1
2010-12-6,0,-3,98,1,2,0.2
2010-12-7,0,-2,91,9,3,1
2010-12-8,3,0,90,8,14,1
2010-12-9,0,1,77,10,16,1
2010-12-13,0,2,91,9,3,0.2
2010-12-14,2,1,81,9,8,1
2010-12-16,0,3,88,9,19,1
2010-12-21,1,1,96,6,6,1
2011-1-5,1,6,81,9,19,0.6
2011-1-12,0,8,92,9,16,0.6
2011-1-14,0,10,89,10,26,0.6
2011-1-17,0,8,92,8,10,0.6
2011-1-18,0,4,87,9,8,0.6
2011-1-19,1,3,88,9,8,1
2011-1-21,0,2,88,8,6,1
2011-1-23,0,6,90,10,14,0.6
2011-1-24,0,4,86,10,10,0.6
2011-1-27,0,2,71,10,21,1
2011-2-1,1,3,89,8,11,0.6
2011-2-2,0,6,86,8,14,0.2
2011-2-4,2,11,69,10,39,1
2011-2-7,0,9,69,10,27,1
2011-2-10,2,9,84,6,11,0.6
2011-2-13,0,7,67,10,18,0.6
2011-2-15,0,6,85,10,18,0.6
2011-2-18,0,4,87,4,10,1
2011-2-20,1,,,3,10,1
2011-2-21,0,6,84,5,10,1
2011-2-22,0,4,83,5,3,1
2011-2-23,0,8,95,5,13,0.6
2011-2-24,4,11,77,9,10,1
2011-2-25,0,11,82,9,13,1
2011-2-27,0,7,78,10,18,0.6
2011-2-28,0,3,89,5,13,0.6
2011-3-1,0,4,84,8,18,1
2011-3-2,0,4,79,5,18,1
2011-3-3,0,3,80,8,18,1
2011-3-7,-3,4,64,,10,1
2011-3-8,0,4,62,3,10,0.2
2011-3-9,0,8,61,10,23,1
2011-5-8,0,17,65,10,11,0.6
2011-5-10,0,13,57,10,10,1
2011-5-11,0,12,68,10,6,1
2011-5-16,8,16,62,10,18,0.6
2011-5-17,0,14,66,10,16,1
2011-5-31,0,12,64,10,13,0.6
2011-6-2,1,14,66,10,8,1
2011-6-7,5,16,61,10,14,1
2011-6-8,0,13,65,10,19,0.6
2011-6-9,0,13,67,10,13,0.6
2011-6-13,0,18,69,10,19,1
2011-6-14,0,15,64,10,8,1
2011-6-16,0,14,76,10,16,0.6
2011-6-20,0,13,80,10,6,0.6
2011-6-24,1,14,64,10,13,0.6
2011-6-26,0,19,78,9,6,1
2011-7-1,0,,,10,8,1
2011-7-14,0,16,64,10,14,1
2011-7-18,0,17,76,10,26,0.6
2011-7-22,1,16,67,10,10,0.6
2011-7-28,0,19,73,9,6,1
2011-8-1,0,19,60,10,8,1
2011-8-2,0,21,55,10,5,1
2011-8-8,0,17,56,10,23,0.6
2011-8-9,0,16,51,10,14,1
2011-8-10,1,18,56,,16,1
2011-8-11,0,18,78,10,24,1
2011-8-14,0,19,53,10,13,1
2011-8-17,1,18,59,10,10,0.6
2011-9-2,1,20,68,7,8,1
2011-9-5,0,16,62,10,27,1
2011-9-7,0,14,63,10,27,0.6
2011-9-8,0,17,71,10,19,1
2011-9-13,2,17,59,10,26,1
2011-9-14,0,16,57,10,19,1
2011-9-16,-2,18,70,10,13,1
2011-9-18,0,13,73,10,8,0.6
2011-9-20,2,18,75,10,23,1
2011-9-21,0,16,74,9,11,0.6
2011-9-22,0,16,60,10,14,1
2011-9-25,4,17,68,10,16,0.2
2011-9-28,0,17,79,6,5,0.2
2011-10-5,0,19,68,10,27,1
2011-10-6,0,13,53,10,27,1
2011-10-10,0,18,66,10,34,1
2011-10-11,0,18,71,10,32,1
2011-10-13,0,14,78,9,11,1
2011-10-17,0,12,68,10,18,1
2011-10-19,1,9,62,10,16,0.6
2011-10-21,0,10,67,10,10,1
2011-10-23,0,14,69,10,18,1
2011-10-25,0,13,73,10,8,0.6
2011-10-27,0,12,80,10,8,0.6
2011-11-1,0,12,77,10,11,0.6
2011-11-3,0,17,82,10,14,0.6
2011-11-4,0,14,81,10,13,0.6
2011-11-6,0,10,79,10,18,1
2011-11-7,0,12,84,5,18,1
2011-11-9,1,13,83,10,5,1
2011-11-10,0,11,92,5,6,0.2
2011-11-13,0,11,88,5,8,0.2
2011-11-14,0,9,89,2,8,1
2011-11-15,0,8,82,6,8,0.2
2011-11-16,0,6,92,5,5,0.2
2011-11-18,2,12,87,10,13,1
2011-11-23,0,7,89,7,8,0.2
2011-11-24,0,11,87,10,14,1
2011-11-25,0,11,72,10,23,1
2011-11-29,0,11,82,10,29,0.6
2011-11-30,3,9,78,10,16,1
2011-12-2,0,6,87,10,11,1
2011-12-5,0,4,77,10,24,1
2011-12-7,2,7,58,10,31,1
2011-12-8,0,10,85,10,31,0.6
2011-12-9,0,6,70,10,23,1
2011-12-9,0,6,70,10,23,1
