date,quantity,temperature,humidity,visibility,wind_speed,condition
2011-8-22,0,18,64,10,8,1
2011-8-30,0,14,66,10,10,1
2011-9-1,0,14,67,10,13,1
2011-9-5,0,16,62,10,27,1
2011-9-8,0,17,71,10,19,1
2011-9-12,2,19,68,10,32,1
2011-9-13,12,17,59,10,26,1
2011-9-19,20,14,64,10,18,1
2011-9-21,0,16,74,9,11,0.6
2011-9-22,0,16,60,10,14,1
2011-9-23,12,14,67,10,10,1
2011-9-25,4,17,68,10,16,0.2
2011-9-26,0,20,73,10,14,1
2011-9-27,0,17,80,7,5,0.2
2011-9-28,0,17,79,6,5,0.2
2011-9-29,0,18,68,6,3,0.2
2011-10-4,12,17,69,10,18,1
2011-10-5,0,19,68,10,27,1
2011-10-6,36,13,53,10,27,1
2011-10-9,5,18,78,10,21,0.6
2011-10-10,3,18,66,10,34,1
2011-10-11,0,18,71,10,32,1
2011-10-13,0,14,78,9,11,1
2011-10-14,12,11,59,10,10,1
2011-10-17,12,12,68,10,18,1
2011-10-19,34,9,62,10,16,0.6
2011-10-20,6,7,65,10,8,1
2011-10-21,10,10,67,10,10,1
2011-10-23,24,14,69,10,18,1
2011-10-24,2,12,74,10,16,1
2011-10-25,62,13,73,10,8,0.6
2011-10-26,12,11,79,10,11,0.6
2011-10-27,19,12,80,10,8,0.6
2011-10-30,12,16,82,10,18,1
2011-10-31,24,13,80,10,13,1
2011-11-1,0,12,77,10,11,0.6
2011-11-2,12,13,79,10,13,1
2011-11-3,0,17,82,10,14,0.6
2011-11-4,0,14,81,10,13,0.6
2011-11-6,12,10,79,10,18,1
2011-11-7,24,12,84,5,18,1
2011-11-8,12,10,85,5,5,1
2011-11-10,41,11,92,5,6,0.2
2011-11-11,0,9,91,5,10,0.2
2011-11-13,20,11,88,5,8,0.2
2011-11-14,0,9,89,2,8,1
2011-11-15,21,8,82,6,8,0.2
2011-11-16,0,6,92,5,5,0.2
2011-11-17,1,12,86,8,8,1
2011-11-18,0,12,87,10,13,1
2011-11-22,2,11,98,3,2,1
2011-11-23,0,7,89,7,8,0.2
2011-11-24,24,11,87,10,14,1
2011-11-29,34,11,82,10,29,0.6
2011-11-30,13,9,78,10,16,1
2011-12-1,0,9,85,10,10,0.6
2011-12-2,0,6,87,10,11,1
2011-12-4,0,7,82,10,18,0.6
2011-12-5,0,4,77,10,24,1
2011-12-7,4,7,58,10,31,1
2011-12-8,4,10,85,10,31,0.6
2011-12-9,0,6,70,10,23,1
2011-12-9,13,6,70,10,23,1
