date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,53,-2,94,3,14,0
2010-12-3,128,-4,92,5,11,0.2
2010-12-5,42,2,91,9,6,1
2010-12-6,23,-3,98,1,2,0.2
2010-12-7,17,-2,91,9,3,1
2010-12-8,69,0,90,8,14,1
2010-12-9,9,1,77,10,16,1
2010-12-10,80,4,85,10,13,1
2010-12-12,167,3,90,9,8,1
2010-12-13,11,2,91,9,3,0.2
2010-12-14,44,1,81,9,8,1
2010-12-15,102,2,90,7,11,0.6
2010-12-16,8,3,88,9,19,1
2010-12-17,9,-3,88,10,14,1
2010-12-19,85,-2,87,10,11,0
2010-12-20,8,-4,89,7,3,1
2010-12-21,48,1,96,6,6,1
2010-12-22,129,1,94,5,8,0.6
2010-12-23,0,0,82,10,21,1
2011-1-4,38,3,87,9,6,0.6
2011-1-5,0,6,81,9,19,0.6
2011-1-6,0,4,94,7,5,0.6
2011-1-7,32,6,94,5,8,1
2011-1-9,0,4,74,,16,1
2011-1-11,72,6,84,10,19,0.6
2011-1-12,0,8,92,9,16,0.6
2011-1-13,0,12,91,9,23,0.6
2011-1-14,0,10,89,10,26,0.6
2011-1-16,4,11,77,10,27,1
2011-1-17,0,8,92,8,10,0.6
2011-1-18,4,4,87,9,8,0.6
2011-1-21,0,2,88,8,6,1
2011-1-25,3,6,91,9,10,0.6
2011-1-27,0,2,71,10,21,1
2011-1-28,2,1,74,10,18,1
2011-1-30,2,1,80,10,11,1
2011-1-31,2,2,81,10,2,1
2011-2-4,4,11,69,10,39,1
2011-2-7,0,9,69,10,27,1
2011-2-8,0,4,74,9,5,0.2
2011-2-11,5,10,83,9,11,0.6
2011-2-13,7,7,67,10,18,0.6
2011-2-14,0,8,60,10,14,0.6
2011-2-17,0,7,86,2,10,0.2
2011-2-21,0,6,84,5,10,1
2011-2-22,3,4,83,5,3,1
2011-2-23,0,8,95,5,13,0.6
2011-2-24,0,11,77,9,10,1
2011-2-25,0,11,82,9,13,1
2011-3-1,2,4,84,8,18,1
2011-3-3,2,3,80,8,18,1
2011-3-7,0,4,64,,10,1
2011-3-9,1,8,61,10,23,1
2011-3-11,0,9,63,10,14,1
2011-3-14,0,7,86,8,13,1
2011-3-15,0,7,97,0,13,0.2
2011-3-18,0,6,82,9,6,0.6
2011-3-20,0,,,,,1
2011-3-22,0,12,64,9,5,1
2011-3-27,0,8,78,7,14,1
2011-3-29,0,6,67,7,5,0.2
2011-3-31,0,14,74,10,27,1
2011-4-10,0,10,64,8,10,1
2011-4-11,0,13,62,10,10,0.6
2011-4-18,0,11,71,4,6,1
2011-4-26,0,12,71,10,14,1
2011-4-27,0,11,58,10,16,1
2011-5-3,0,8,57,10,19,1
2011-5-10,0,13,57,10,10,1
2011-5-17,5,14,66,10,16,1
2011-5-19,0,12,64,10,6,1
2011-5-23,0,15,61,10,23,0.6
2011-5-24,1,13,48,10,19,1
2011-5-27,0,12,67,10,18,1
2011-6-3,0,17,69,10,16,1
2011-6-8,0,13,65,10,19,0.6
2011-6-10,5,11,73,10,6,1
2011-6-13,0,18,69,10,19,1
2011-6-14,0,15,64,10,8,1
2011-6-16,0,14,76,10,16,0.6
2011-6-20,0,13,80,10,6,0.6
2011-6-21,0,18,70,10,21,1
2011-6-27,0,24,61,5,8,1
2011-6-28,0,20,82,9,8,1
2011-7-4,0,14,62,10,6,1
2011-7-5,1,17,66,9,6,0.6
2011-7-8,3,17,72,10,19,0.6
2011-7-15,2,16,54,10,8,1
2011-7-18,1,17,76,10,26,0.6
2011-7-20,2,16,73,9,6,0.6
2011-7-21,0,16,83,9,5,0.6
2011-7-26,0,16,74,10,6,0.6
2011-8-8,0,17,56,10,23,0.6
2011-8-10,0,18,56,,16,1
2011-8-11,0,18,78,10,24,1
2011-8-12,0,19,72,10,8,1
2011-8-17,0,18,59,10,10,0.6
2011-8-21,0,21,60,9,8,1
2011-8-22,0,18,64,10,8,1
2011-8-23,0,16,92,6,10,0.6
2011-8-24,0,18,72,9,8,0.6
2011-8-25,8,18,68,10,13,1
2011-8-26,0,16,84,10,8,1
2011-8-28,0,16,71,10,16,0.6
2011-8-31,0,14,68,10,3,1
2011-9-2,0,20,68,7,8,1
2011-9-6,15,17,81,10,32,0.6
2011-9-7,8,14,63,10,27,0.6
2011-9-8,-1,17,71,10,19,1
2011-9-11,15,18,64,10,24,1
2011-9-13,0,17,59,10,26,1
2011-9-14,6,16,57,10,19,1
2011-9-15,0,13,66,10,5,1
2011-9-16,0,18,70,10,13,1
2011-9-18,0,13,73,10,8,0.6
2011-9-19,0,14,64,10,18,1
2011-9-20,8,18,75,10,23,1
2011-9-21,2,16,74,9,11,0.6
2011-9-22,2,16,60,10,14,1
2011-9-23,0,14,67,10,10,1
2011-9-26,10,20,73,10,14,1
2011-9-27,24,17,80,7,5,0.2
2011-9-29,3,18,68,6,3,0.2
2011-9-30,0,18,62,7,5,0.2
2011-10-2,33,19,51,10,6,0.2
2011-10-4,1,17,69,10,18,1
2011-10-5,2,19,68,10,27,1
2011-10-6,4,13,53,10,27,1
2011-10-7,1,12,70,10,19,0.6
2011-10-9,0,18,78,10,21,0.6
2011-10-10,0,18,66,10,34,1
2011-10-11,-8,18,71,10,32,1
2011-10-12,4,17,70,10,16,1
2011-10-13,1,14,78,9,11,1
2011-10-16,8,9,74,9,3,0.2
2011-10-17,5,12,68,10,18,1
2011-10-18,4,10,56,10,21,1
2011-10-19,3,9,62,10,16,0.6
2011-10-20,2,7,65,10,8,1
2011-10-21,0,10,67,10,10,1
2011-10-23,0,14,69,10,18,1
2011-10-24,2,12,74,10,16,1
2011-10-26,2,11,79,10,11,0.6
2011-10-27,0,12,80,10,8,0.6
2011-10-28,7,12,83,8,5,1
2011-10-30,7,16,82,10,18,1
2011-10-31,2,13,80,10,13,1
2011-11-1,7,12,77,10,11,0.6
2011-11-2,2,13,79,10,13,1
2011-11-3,0,17,82,10,14,0.6
2011-11-4,108,14,81,10,13,0.6
2011-11-6,2,10,79,10,18,1
2011-11-7,30,12,84,5,18,1
2011-11-8,1,10,85,5,5,1
2011-11-9,26,13,83,10,5,1
2011-11-10,4,11,92,5,6,0.2
2011-11-11,66,9,91,5,10,0.2
2011-11-13,36,11,88,5,8,0.2
2011-11-14,3,9,89,2,8,1
2011-11-15,0,8,82,6,8,0.2
2011-11-16,28,6,92,5,5,0.2
2011-11-17,4,12,86,8,8,1
2011-11-18,48,12,87,10,13,1
2011-11-20,50,7,97,5,2,0.2
2011-11-21,2,6,97,3,3,0.2
2011-11-22,7,11,98,3,2,1
2011-11-23,16,7,89,7,8,0.2
2011-11-25,10,11,72,10,23,1
2011-11-27,3,10,72,10,23,0.6
2011-11-28,10,4,83,10,8,1
2011-11-29,4,11,82,10,29,0.6
2011-11-30,5,9,78,10,16,1
2011-12-1,15,9,85,10,10,0.6
2011-12-2,4,6,87,10,11,1
2011-12-4,26,7,82,10,18,0.6
2011-12-5,14,4,77,10,24,1
2011-12-6,13,4,80,10,19,0.6
2011-12-7,15,7,58,10,31,1
2011-12-8,36,10,85,10,31,0.6
2011-12-9,68,6,70,10,23,1
2011-12-9,19,6,70,10,23,1
