date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,68,-2,94,3,14,0
2010-12-3,1,-4,92,5,11,0.2
2010-12-5,10,2,91,9,6,1
2010-12-6,16,-3,98,1,2,0.2
2010-12-7,33,-2,91,9,3,1
2010-12-8,22,0,90,8,14,1
2010-12-9,97,1,77,10,16,1
2010-12-10,14,4,85,10,13,1
2010-12-12,12,3,90,9,8,1
2010-12-13,8,2,91,9,3,0.2
2010-12-14,21,1,81,9,8,1
2010-12-15,26,2,90,7,11,0.6
2010-12-16,49,3,88,9,19,1
2010-12-17,11,-3,88,10,14,1
2010-12-19,3,-2,87,10,11,0
2010-12-20,0,-4,89,7,3,1
2010-12-21,2,1,96,6,6,1
2010-12-22,1,1,94,5,8,0.6
2010-12-23,0,0,82,10,21,1
2011-1-4,0,3,87,9,6,0.6
2011-1-5,10,6,81,9,19,0.6
2011-1-6,0,4,94,7,5,0.6
2011-1-7,273,6,94,5,8,1
2011-1-9,-99,4,74,,16,1
2011-1-10,0,4,82,10,14,0.6
2011-1-11,0,6,84,10,19,0.6
2011-1-12,1,8,92,9,16,0.6
2011-1-13,0,12,91,9,23,0.6
2011-1-14,114,10,89,10,26,0.6
2011-1-16,11,11,77,10,27,1
2011-1-17,22,8,92,8,10,0.6
2011-1-18,2,4,87,9,8,0.6
2011-1-19,0,3,88,9,8,1
2011-1-20,101,3,90,9,11,0.6
2011-1-23,13,6,90,10,14,0.6
2011-1-24,0,4,86,10,10,0.6
2011-1-25,22,6,91,9,10,0.6
2011-1-26,32,4,90,9,10,1
2011-1-27,28,2,71,10,21,1
2011-1-28,32,1,74,10,18,1
2011-1-31,10,2,81,10,2,1
2011-2-1,144,3,89,8,11,0.6
2011-2-2,115,6,86,8,14,0.2
2011-2-3,17,8,70,10,19,1
2011-2-4,15,11,69,10,39,1
2011-2-7,32,9,69,10,27,1
2011-2-8,20,4,74,9,5,0.2
2011-2-9,14,4,80,8,6,1
2011-2-10,30,9,84,6,11,0.6
2011-2-11,3,10,83,9,11,0.6
2011-2-13,2,7,67,10,18,0.6
2011-2-14,11,8,60,10,14,0.6
2011-2-15,23,6,85,10,18,0.6
2011-2-16,20,7,87,10,10,1
2011-2-17,50,7,86,2,10,0.2
2011-2-18,32,4,87,4,10,1
2011-2-20,101,,,3,10,1
2011-2-21,0,6,84,5,10,1
2011-2-22,1,4,83,5,3,1
2011-2-23,20,8,95,5,13,0.6
2011-2-24,19,11,77,9,10,1
