date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-3,0,-4,92,5,11,0.2
2010-12-6,0,-3,98,1,2,0.2
2010-12-8,0,0,90,8,14,1
2010-12-9,0,1,77,10,16,1
2010-12-13,2,2,91,9,3,0.2
2010-12-14,0,1,81,9,8,1
2010-12-16,2,3,88,9,19,1
2010-12-17,3,-3,88,10,14,1
2010-12-21,1,1,96,6,6,1
2010-12-23,1,0,82,10,21,1
2011-1-4,0,3,87,9,6,0.6
2011-1-12,0,8,92,9,16,0.6
2011-1-14,0,10,89,10,26,0.6
2011-1-17,0,8,92,8,10,0.6
2011-1-19,0,3,88,9,8,1
2011-1-20,0,3,90,9,11,0.6
2011-1-21,0,2,88,8,6,1
2011-1-24,0,4,86,10,10,0.6
2011-1-25,0,6,91,9,10,0.6
2011-1-26,0,4,90,9,10,1
2011-1-27,0,2,71,10,21,1
2011-1-28,0,1,74,10,18,1
2011-1-30,0,1,80,10,11,1
2011-1-31,0,2,81,10,2,1
2011-2-2,0,6,86,8,14,0.2
2011-2-6,1,10,71,10,34,1
2011-2-8,0,4,74,9,5,0.2
2011-2-9,1,4,80,8,6,1
2011-2-15,3,6,85,10,18,0.6
2011-2-16,0,7,87,10,10,1
2011-2-17,0,7,86,2,10,0.2
2011-2-23,0,8,95,5,13,0.6
2011-2-27,1,7,78,10,18,0.6
2011-3-3,0,3,80,8,18,1
2011-3-6,2,4,70,10,18,1
2011-3-9,0,8,61,10,23,1
2011-3-15,0,7,97,0,13,0.2
2011-3-17,1,6,87,5,8,1
2011-3-20,2,,,,,1
2011-3-31,0,14,74,10,27,1
2011-4-4,1,9,62,10,19,1
2011-4-5,0,10,84,10,24,0.6
2011-4-15,0,11,62,10,5,1
2011-4-18,0,11,71,4,6,1
2011-4-19,1,14,63,8,5,1
2011-4-21,4,13,71,6,5,1
2011-4-26,1,12,71,10,14,1
2011-4-27,1,11,58,10,16,1
2011-5-4,0,7,65,10,8,1
2011-5-5,0,12,62,8,6,1
2011-5-6,0,14,54,,6,1
2011-5-9,0,16,59,10,11,1
2011-5-10,0,13,57,10,10,1
2011-5-11,3,12,68,10,6,1
2011-5-17,0,14,66,10,16,1
2011-5-24,0,13,48,10,19,1
2011-5-26,3,13,69,10,21,1
2011-5-27,0,12,67,10,18,1
2011-5-29,0,17,69,10,23,1
2011-6-2,0,14,66,10,8,1
2011-6-5,0,14,77,10,18,0.6
2011-6-6,0,11,81,9,8,0.6
2011-6-10,0,11,73,10,6,1
2011-6-13,0,18,69,10,19,1
2011-6-15,0,17,74,10,13,0.6
2011-6-17,0,13,82,9,14,0.6
2011-6-19,0,14,64,10,23,0.6
2011-6-20,0,13,80,10,6,0.6
2011-6-21,0,18,70,10,21,1
2011-6-24,1,14,64,10,13,0.6
2011-6-26,0,19,78,9,6,1
2011-6-29,-1,16,57,10,13,1
2011-6-30,0,15,57,10,10,1
2011-7-4,0,14,62,10,6,1
2011-7-6,1,17,67,10,21,0.6
2011-7-11,1,17,71,10,6,1
2011-7-12,0,17,75,9,14,0.6
2011-7-14,0,16,64,10,14,1
2011-7-15,0,16,54,10,8,1
2011-7-18,0,17,76,10,26,0.6
2011-7-21,1,16,83,9,5,0.6
2011-7-24,0,16,59,10,14,1
2011-7-25,0,16,67,10,6,1
2011-7-26,0,16,74,10,6,0.6
2011-7-28,0,19,73,9,6,1
2011-7-29,0,14,79,8,5,0.2
2011-7-31,0,17,60,10,10,1
2011-8-2,0,21,55,10,5,1
2011-8-4,0,18,87,8,14,0.6
2011-8-8,0,17,56,10,23,0.6
2011-8-10,0,18,56,,16,1
2011-8-11,0,18,78,10,24,1
2011-9-7,2,14,63,10,27,0.6
2011-9-14,0,16,57,10,19,1
2011-9-21,0,16,74,9,11,0.6
2011-9-30,0,18,62,7,5,0.2
2011-10-2,0,19,51,10,6,0.2
2011-10-17,0,12,68,10,18,1
2011-10-18,0,10,56,10,21,1
2011-10-24,1,12,74,10,16,1
2011-10-31,0,13,80,10,13,1
2011-11-2,0,13,79,10,13,1
2011-11-7,0,12,84,5,18,1
2011-11-9,0,13,83,10,5,1
2011-11-14,1,9,89,2,8,1
2011-11-18,3,12,87,10,13,1
2011-11-20,0,7,97,5,2,0.2
2011-11-21,0,6,97,3,3,0.2
2011-11-22,0,11,98,3,2,1
2011-11-23,0,7,89,7,8,0.2
2011-11-24,0,11,87,10,14,1
2011-11-25,0,11,72,10,23,1
2011-11-28,0,4,83,10,8,1
2011-11-30,0,9,78,10,16,1
2011-12-2,0,6,87,10,11,1
2011-12-4,0,7,82,10,18,0.6
2011-12-5,0,4,77,10,24,1
2011-12-6,0,4,80,10,19,0.6
2011-12-8,0,10,85,10,31,0.6
2011-12-9,1,6,70,10,23,1
2011-12-9,0,6,70,10,23,1
