date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-5,1,2,91,9,6,1
2010-12-6,0,-3,98,1,2,0.2
2010-12-7,1,-2,91,9,3,1
2010-12-9,1,1,77,10,16,1
2010-12-10,8,4,85,10,13,1
2010-12-12,4,3,90,9,8,1
2010-12-14,6,1,81,9,8,1
2011-1-18,4,4,87,9,8,0.6
2011-1-21,0,2,88,8,6,1
2011-1-30,0,1,80,10,11,1
2011-1-31,0,2,81,10,2,1
2011-2-1,1,3,89,8,11,0.6
2011-2-2,4,6,86,8,14,0.2
2011-2-7,0,9,69,10,27,1
2011-2-8,0,4,74,9,5,0.2
2011-2-16,0,7,87,10,10,1
2011-2-21,13,6,84,5,10,1
2011-2-24,0,11,77,9,10,1
2011-3-4,0,3,79,9,14,1
2011-3-7,0,4,64,,10,1
2011-3-14,0,7,86,8,13,1
2011-3-17,0,6,87,5,8,1
2011-3-18,0,6,82,9,6,0.6
2011-3-23,0,10,76,10,5,1
2011-3-30,0,10,83,8,13,0.6
2011-3-31,0,14,74,10,27,1
2011-4-4,0,9,62,10,19,1
2011-4-6,0,18,50,10,19,1
2011-4-8,2,13,57,,6,1
2011-4-11,0,13,62,10,10,0.6
2011-4-12,2,9,51,10,21,1
2011-4-13,0,7,61,10,8,0.6
2011-4-18,0,11,71,4,6,1
2011-4-27,0,11,58,10,16,1
2011-5-1,17,13,64,,21,1
2011-5-4,4,7,65,10,8,1
2011-5-9,0,16,59,10,11,1
2011-5-10,0,13,57,10,10,1
2011-5-24,2,13,48,10,19,1
2011-5-25,0,12,49,,8,1
2011-6-6,1,11,81,9,8,0.6
2011-6-8,0,13,65,10,19,0.6
2011-6-9,0,13,67,10,13,0.6
2011-6-15,12,17,74,10,13,0.6
2011-6-17,0,13,82,9,14,0.6
2011-6-20,0,13,80,10,6,0.6
2011-6-26,3,19,78,9,6,1
2011-6-28,0,20,82,9,8,1
2011-7-1,0,,,10,8,1
2011-7-4,0,14,62,10,6,1
2011-7-5,0,17,66,9,6,0.6
2011-7-6,1,17,67,10,21,0.6
2011-7-7,0,17,67,10,21,0.6
2011-7-11,0,17,71,10,6,1
2011-7-12,0,17,75,9,14,0.6
2011-7-19,3,16,70,10,11,0.6
2011-7-20,0,16,73,9,6,0.6
2011-7-21,0,16,83,9,5,0.6
2011-7-25,0,16,67,10,6,1
2011-7-28,0,19,73,9,6,1
2011-7-29,0,14,79,8,5,0.2
2011-7-31,0,17,60,10,10,1
2011-8-1,0,19,60,10,8,1
2011-8-8,0,17,56,10,23,0.6
2011-8-9,0,16,51,10,14,1
2011-8-18,0,14,78,10,14,0.6
2011-8-30,0,14,66,10,10,1
2011-9-7,0,14,63,10,27,0.6
2011-9-12,0,19,68,10,32,1
2011-9-16,0,18,70,10,13,1
2011-10-4,0,17,69,10,18,1
2011-10-10,0,18,66,10,34,1
2011-10-19,0,9,62,10,16,0.6
2011-10-23,0,14,69,10,18,1
2011-10-26,0,11,79,10,11,0.6
2011-10-27,1,12,80,10,8,0.6
2011-10-28,1,12,83,8,5,1
2011-10-31,9,13,80,10,13,1
2011-11-7,0,12,84,5,18,1
2011-11-8,0,10,85,5,5,1
2011-11-9,0,13,83,10,5,1
2011-11-11,0,9,91,5,10,0.2
2011-11-13,14,11,88,5,8,0.2
2011-11-14,0,9,89,2,8,1
2011-11-15,0,8,82,6,8,0.2
2011-11-21,0,6,97,3,3,0.2
2011-11-22,0,11,98,3,2,1
2011-11-24,0,11,87,10,14,1
2011-11-25,0,11,72,10,23,1
2011-11-27,0,10,72,10,23,0.6
2011-11-28,1,4,83,10,8,1
2011-12-1,0,9,85,10,10,0.6
2011-12-2,0,6,87,10,11,1
2011-12-5,0,4,77,10,24,1
2011-12-8,4,10,85,10,31,0.6
2011-12-8,1,10,85,10,31,0.6
