date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-3,0,-4,92,5,11,0.2
2010-12-5,0,2,91,9,6,1
2010-12-6,0,-3,98,1,2,0.2
2010-12-7,0,-2,91,9,3,1
2010-12-8,1,0,90,8,14,1
2010-12-10,0,4,85,10,13,1
2010-12-12,2,3,90,9,8,1
2010-12-13,0,2,91,9,3,0.2
2010-12-14,0,1,81,9,8,1
2010-12-17,2,-3,88,10,14,1
2010-12-21,1,1,96,6,6,1
2011-1-18,1,4,87,9,8,0.6
2011-1-19,0,3,88,9,8,1
2011-1-21,0,2,88,8,6,1
2011-1-25,0,6,91,9,10,0.6
2011-1-28,0,1,74,10,18,1
2011-1-31,0,2,81,10,2,1
2011-2-7,0,9,69,10,27,1
2011-2-8,0,4,74,9,5,0.2
2011-2-11,0,10,83,9,11,0.6
2011-2-16,0,7,87,10,10,1
2011-2-21,0,6,84,5,10,1
2011-2-24,0,11,77,9,10,1
2011-3-1,0,4,84,8,18,1
2011-3-4,0,3,79,9,14,1
2011-3-9,0,8,61,10,23,1
2011-3-30,0,10,83,8,13,0.6
2011-4-4,6,9,62,10,19,1
2011-4-6,0,18,50,10,19,1
2011-4-8,0,13,57,,6,1
2011-4-12,0,9,51,10,21,1
2011-4-13,0,7,61,10,8,0.6
2011-4-18,2,11,71,4,6,1
2011-4-27,0,11,58,10,16,1
2011-5-1,0,13,64,,21,1
2011-5-4,0,7,65,10,8,1
2011-5-5,0,12,62,8,6,1
2011-5-6,0,14,54,,6,1
2011-5-8,6,17,65,10,11,0.6
2011-5-10,0,13,57,10,10,1
2011-5-12,2,13,57,10,14,1
2011-5-16,0,16,62,10,18,0.6
2011-5-19,0,12,64,10,6,1
2011-5-24,0,13,48,10,19,1
2011-5-25,0,12,49,,8,1
2011-6-2,0,14,66,10,8,1
2011-6-6,0,11,81,9,8,0.6
2011-6-15,0,17,74,10,13,0.6
2011-6-17,1,13,82,9,14,0.6
2011-6-19,3,14,64,10,23,0.6
2011-6-20,0,13,80,10,6,0.6
2011-6-22,1,14,73,10,21,0.6
2011-6-26,0,19,78,9,6,1
2011-7-1,0,,,10,8,1
2011-7-3,0,19,57,10,6,1
2011-7-5,0,17,66,9,6,0.6
2011-7-11,0,17,71,10,6,1
2011-7-12,0,17,75,9,14,0.6
2011-7-15,2,16,54,10,8,1
2011-7-18,0,17,76,10,26,0.6
2011-7-20,0,16,73,9,6,0.6
2011-7-22,0,16,67,10,10,0.6
2011-7-25,0,16,67,10,6,1
2011-7-28,0,19,73,9,6,1
2011-7-31,4,17,60,10,10,1
2011-8-1,0,19,60,10,8,1
2011-8-8,0,17,56,10,23,0.6
2011-8-10,0,18,56,,16,1
2011-8-11,0,18,78,10,24,1
2011-8-30,0,14,66,10,10,1
2011-9-15,0,13,66,10,5,1
2011-9-27,0,17,80,7,5,0.2
2011-10-4,0,17,69,10,18,1
2011-10-19,0,9,62,10,16,0.6
2011-10-23,0,14,69,10,18,1
2011-10-26,0,11,79,10,11,0.6
2011-10-27,0,12,80,10,8,0.6
2011-11-7,0,12,84,5,18,1
2011-11-10,0,11,92,5,6,0.2
2011-11-14,0,9,89,2,8,1
2011-11-15,0,8,82,6,8,0.2
2011-11-16,0,6,92,5,5,0.2
2011-11-20,0,7,97,5,2,0.2
2011-11-22,1,11,98,3,2,1
2011-11-23,0,7,89,7,8,0.2
2011-11-24,1,11,87,10,14,1
2011-11-25,0,11,72,10,23,1
2011-11-29,0,11,82,10,29,0.6
2011-12-1,0,9,85,10,10,0.6
2011-12-2,0,6,87,10,11,1
2011-12-8,0,10,85,10,31,0.6
2011-12-8,0,10,85,10,31,0.6
