date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-3,0,-4,92,5,11,0.2
2010-12-6,1,-3,98,1,2,0.2
2010-12-7,6,-2,91,9,3,1
2010-12-8,0,0,90,8,14,1
2010-12-9,0,1,77,10,16,1
2010-12-15,0,2,90,7,11,0.6
2010-12-20,0,-4,89,7,3,1
2011-1-10,0,4,82,10,14,0.6
2011-1-24,0,4,86,10,10,0.6
2011-2-4,0,11,69,10,39,1
2011-2-10,0,9,84,6,11,0.6
2011-2-20,0,,,3,10,1
2011-2-28,0,3,89,5,13,0.6
2011-3-7,0,4,64,,10,1
2011-3-8,0,4,62,3,10,0.2
2011-3-18,0,6,82,9,6,0.6
2011-3-20,0,,,,,1
2011-3-22,0,12,64,9,5,1
2011-3-24,0,9,70,9,8,1
2011-3-27,0,8,78,7,14,1
2011-3-29,2,6,67,7,5,0.2
2011-3-31,0,14,74,10,27,1
2011-4-1,0,13,75,10,24,1
2011-4-3,0,11,65,10,11,1
2011-4-4,0,9,62,10,19,1
2011-4-7,0,16,63,10,13,1
2011-4-13,0,7,61,10,8,0.6
2011-4-15,0,11,62,10,5,1
2011-4-18,0,11,71,4,6,1
2011-4-19,0,14,63,8,5,1
2011-4-20,0,14,68,7,3,1
2011-4-21,0,13,71,6,5,1
2011-4-26,3,12,71,10,14,1
2011-4-27,17,11,58,10,16,1
2011-4-28,46,11,73,10,18,0.6
2011-5-3,20,8,57,10,19,1
2011-5-4,11,7,65,10,8,1
2011-5-5,5,12,62,8,6,1
2011-5-6,33,14,54,,6,1
2011-5-8,10,17,65,10,11,0.6
2011-5-9,7,16,59,10,11,1
2011-5-10,216,13,57,10,10,1
2011-5-11,14,12,68,10,6,1
2011-5-12,13,13,57,10,14,1
2011-5-13,1,13,58,10,11,1
2011-5-15,0,10,61,10,16,1
2011-5-16,11,16,62,10,18,0.6
2011-5-17,3,14,66,10,16,1
2011-5-18,12,16,76,10,16,1
2011-5-19,6,12,64,10,6,1
2011-5-20,12,14,56,10,10,1
2011-5-22,0,14,55,10,24,0.6
2011-5-23,7,15,61,10,23,0.6
2011-5-24,0,13,48,10,19,1
2011-5-25,10,12,49,,8,1
2011-5-26,27,13,69,10,21,1
2011-5-27,0,12,67,10,18,1
2011-5-29,0,17,69,10,23,1
2011-5-31,15,12,64,10,13,0.6
2011-6-1,0,13,55,10,6,1
2011-6-2,3,14,66,10,8,1
2011-6-3,5,17,69,10,16,1
2011-6-5,0,14,77,10,18,0.6
2011-6-6,10,11,81,9,8,0.6
2011-6-7,21,16,61,10,14,1
2011-6-8,24,13,65,10,19,0.6
2011-6-9,36,13,67,10,13,0.6
2011-6-10,5,11,73,10,6,1
2011-6-12,2,11,77,9,14,0.6
2011-6-13,4,18,69,10,19,1
2011-6-14,0,15,64,10,8,1
2011-6-15,1,17,74,10,13,0.6
2011-6-16,0,14,76,10,16,0.6
2011-6-17,1,13,82,9,14,0.6
2011-6-19,0,14,64,10,23,0.6
2011-6-20,2,13,80,10,6,0.6
2011-6-22,10,14,73,10,21,0.6
2011-6-23,4,14,65,10,18,0.6
2011-6-24,36,14,64,10,13,0.6
2011-6-27,10,24,61,5,8,1
2011-6-28,6,20,82,9,8,1
2011-6-29,0,16,57,10,13,1
2011-6-30,14,15,57,10,10,1
2011-7-1,10,,,10,8,1
2011-7-3,0,19,57,10,6,1
2011-7-4,3,14,62,10,6,1
2011-7-5,12,17,66,9,6,0.6
2011-7-6,7,17,67,10,21,0.6
2011-7-7,10,17,67,10,21,0.6
2011-7-8,50,17,72,10,19,0.6
2011-7-10,0,17,68,10,10,1
2011-7-11,0,17,71,10,6,1
2011-7-13,0,14,64,10,14,0.6
2011-7-14,5,16,64,10,14,1
2011-7-18,3,17,76,10,26,0.6
2011-7-19,0,16,70,10,11,0.6
2011-7-20,3,16,73,9,6,0.6
2011-7-21,10,16,83,9,5,0.6
2011-7-22,50,16,67,10,10,0.6
2011-7-25,0,16,67,10,6,1
2011-7-26,2,16,74,10,6,0.6
2011-7-27,0,17,74,10,11,1
2011-7-28,0,19,73,9,6,1
2011-7-29,0,14,79,8,5,0.2
2011-7-31,21,17,60,10,10,1
2011-8-1,15,19,60,10,8,1
2011-8-2,0,21,55,10,5,1
2011-8-3,1,23,53,8,6,1
2011-8-4,15,18,87,8,14,0.6
2011-8-5,30,20,68,10,10,1
2011-8-8,1,17,56,10,23,0.6
2011-8-9,8,16,51,10,14,1
2011-8-10,0,18,56,,16,1
2011-8-11,5,18,78,10,24,1
2011-8-14,1,19,53,10,13,1
2011-8-17,0,18,59,10,10,0.6
2011-8-18,3,14,78,10,14,0.6
2011-8-19,0,16,58,10,11,1
2011-8-21,0,21,60,9,8,1
2011-8-22,6,18,64,10,8,1
2011-8-23,1,16,92,6,10,0.6
2011-8-25,5,18,68,10,13,1
2011-8-30,0,14,66,10,10,1
2011-8-31,19,14,68,10,3,1
2011-9-2,2,20,68,7,8,1
2011-9-7,2,14,63,10,27,0.6
2011-9-9,2,19,79,10,14,1
2011-9-11,0,18,64,10,24,1
2011-9-12,2,19,68,10,32,1
2011-9-13,0,17,59,10,26,1
2011-9-14,0,16,57,10,19,1
2011-9-15,0,13,66,10,5,1
2011-9-16,3,18,70,10,13,1
2011-9-21,0,16,74,9,11,0.6
2011-9-25,9,17,68,10,16,0.2
2011-9-27,0,17,80,7,5,0.2
2011-9-28,0,17,79,6,5,0.2
2011-9-30,1,18,62,7,5,0.2
2011-10-3,0,21,51,8,16,1
2011-10-4,1,17,69,10,18,1
2011-10-5,0,19,68,10,27,1
2011-10-7,6,12,70,10,19,0.6
2011-10-9,0,18,78,10,21,0.6
2011-10-10,0,18,66,10,34,1
2011-10-11,3,18,71,10,32,1
2011-10-12,1,17,70,10,16,1
2011-10-17,0,12,68,10,18,1
2011-10-18,0,10,56,10,21,1
2011-10-19,0,9,62,10,16,0.6
2011-10-23,2,14,69,10,18,1
2011-10-25,0,13,73,10,8,0.6
2011-10-26,1,11,79,10,11,0.6
2011-10-28,0,12,83,8,5,1
2011-10-31,0,13,80,10,13,1
2011-11-3,1,17,82,10,14,0.6
2011-11-7,0,12,84,5,18,1
2011-11-8,2,10,85,5,5,1
2011-11-9,0,13,83,10,5,1
2011-11-10,0,11,92,5,6,0.2
2011-11-11,3,9,91,5,10,0.2
2011-11-13,2,11,88,5,8,0.2
2011-11-14,0,9,89,2,8,1
2011-11-16,5,6,92,5,5,0.2
2011-11-17,0,12,86,8,8,1
2011-11-18,5,12,87,10,13,1
2011-11-21,0,6,97,3,3,0.2
2011-11-23,2,7,89,7,8,0.2
2011-11-24,0,11,87,10,14,1
2011-11-27,0,10,72,10,23,0.6
2011-11-28,0,4,83,10,8,1
2011-11-29,3,11,82,10,29,0.6
2011-11-30,0,9,78,10,16,1
2011-12-1,0,9,85,10,10,0.6
2011-12-2,0,6,87,10,11,1
2011-12-5,4,4,77,10,24,1
2011-12-6,1,4,80,10,19,0.6
2011-12-7,0,7,58,10,31,1
2011-12-8,0,10,85,10,31,0.6
2011-12-8,15,10,85,10,31,0.6
