date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,457,-2,94,3,14,0
2010-12-3,15,-4,92,5,11,0.2
2010-12-5,24,2,91,9,6,1
2010-12-6,0,-3,98,1,2,0.2
2010-12-7,20,-2,91,9,3,1
2010-12-8,2,0,90,8,14,1
2010-12-9,31,1,77,10,16,1
2010-12-10,0,4,85,10,13,1
2010-12-13,2,2,91,9,3,0.2
2010-12-14,1,1,81,9,8,1
2010-12-15,50,2,90,7,11,0.6
2010-12-16,0,3,88,9,19,1
2010-12-17,36,-3,88,10,14,1
2010-12-19,0,-2,87,10,11,0
2010-12-20,0,-4,89,7,3,1
2010-12-21,5,1,96,6,6,1
2010-12-23,0,0,82,10,21,1
2011-1-5,0,6,81,9,19,0.6
2011-1-6,12,4,94,7,5,0.6
2011-1-7,0,6,94,5,8,1
2011-1-11,12,6,84,10,19,0.6
2011-1-12,0,8,92,9,16,0.6
2011-1-13,0,12,91,9,23,0.6
2011-1-14,0,10,89,10,26,0.6
2011-1-17,10,8,92,8,10,0.6
2011-1-18,2,4,87,9,8,0.6
2011-1-19,2,3,88,9,8,1
2011-1-20,1,3,90,9,11,0.6
2011-1-21,0,2,88,8,6,1
2011-1-23,5,6,90,10,14,0.6
2011-1-24,0,4,86,10,10,0.6
2011-1-25,27,6,91,9,10,0.6
2011-1-26,27,4,90,9,10,1
2011-1-27,0,2,71,10,21,1
2011-1-30,0,1,80,10,11,1
2011-1-31,0,2,81,10,2,1
2011-2-1,6,3,89,8,11,0.6
2011-2-2,0,6,86,8,14,0.2
2011-2-4,13,11,69,10,39,1
2011-2-6,12,10,71,10,34,1
2011-2-7,0,9,69,10,27,1
2011-2-8,1,4,74,9,5,0.2
2011-2-9,3,4,80,8,6,1
2011-2-11,0,10,83,9,11,0.6
2011-2-14,26,8,60,10,14,0.6
2011-2-15,6,6,85,10,18,0.6
2011-2-16,144,7,87,10,10,1
2011-2-17,1,7,86,2,10,0.2
2011-2-18,21,4,87,4,10,1
2011-2-20,48,,,3,10,1
2011-2-21,2,6,84,5,10,1
2011-2-22,12,4,83,5,3,1
2011-2-23,3,8,95,5,13,0.6
2011-2-24,13,11,77,9,10,1
2011-2-25,0,11,82,9,13,1
2011-2-27,2,7,78,10,18,0.6
2011-2-28,0,3,89,5,13,0.6
2011-3-1,15,4,84,8,18,1
2011-3-2,0,4,79,5,18,1
2011-3-3,0,3,80,8,18,1
2011-3-4,0,3,79,9,14,1
2011-3-6,1,4,70,10,18,1
2011-3-7,0,4,64,,10,1
2011-3-8,7,4,62,3,10,0.2
2011-3-9,2,8,61,10,23,1
2011-3-10,18,10,64,10,27,0.6
2011-3-11,0,9,63,10,14,1
2011-3-13,5,10,90,8,10,0.6
