date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,545,-2,94,3,14,0
2010-12-3,129,-4,92,5,11,0.2
2010-12-5,124,2,91,9,6,1
2010-12-6,11,-3,98,1,2,0.2
2010-12-7,48,-2,91,9,3,1
2010-12-8,33,0,90,8,14,1
2010-12-9,42,1,77,10,16,1
2010-12-10,92,4,85,10,13,1
2010-12-12,154,3,90,9,8,1
2010-12-13,13,2,91,9,3,0.2
2010-12-14,100,1,81,9,8,1
2010-12-15,182,2,90,7,11,0.6
2010-12-17,4,-3,88,10,14,1
2010-12-20,2,-4,89,7,3,1
2010-12-21,0,1,96,6,6,1
2010-12-23,216,0,82,10,21,1
2011-1-6,0,4,94,7,5,0.6
2011-1-9,0,4,74,,16,1
2011-1-11,0,6,84,10,19,0.6
2011-1-14,2,10,89,10,26,0.6
2011-1-17,0,8,92,8,10,0.6
2011-1-25,1,6,91,9,10,0.6
2011-1-31,0,2,81,10,2,1
2011-2-4,0,11,69,10,39,1
2011-2-8,1,4,74,9,5,0.2
2011-2-11,0,10,83,9,11,0.6
2011-2-17,0,7,86,2,10,0.2
2011-2-22,0,4,83,5,3,1
2011-2-23,0,8,95,5,13,0.6
2011-3-7,0,4,64,,10,1
2011-3-9,1,8,61,10,23,1
2011-3-11,0,9,63,10,14,1
2011-3-15,0,7,97,0,13,0.2
2011-3-18,0,6,82,9,6,0.6
2011-4-6,0,18,50,10,19,1
2011-4-15,0,11,62,10,5,1
2011-4-17,0,11,73,8,3,1
2011-5-3,1,8,57,10,19,1
2011-5-6,0,14,54,,6,1
2011-5-10,0,13,57,10,10,1
2011-5-13,0,13,58,10,11,1
2011-5-17,0,14,66,10,16,1
2011-5-27,0,12,67,10,18,1
2011-6-8,0,13,65,10,19,0.6
2011-6-10,0,11,73,10,6,1
2011-6-17,0,13,82,9,14,0.6
2011-6-21,0,18,70,10,21,1
2011-6-28,0,20,82,9,8,1
2011-6-29,0,16,57,10,13,1
2011-7-5,0,17,66,9,6,0.6
2011-7-12,0,17,75,9,14,0.6
2011-7-19,0,16,70,10,11,0.6
2011-7-22,0,16,67,10,10,0.6
2011-7-26,0,16,74,10,6,0.6
2011-8-2,0,21,55,10,5,1
2011-8-10,0,18,56,,16,1
2011-8-16,0,18,67,10,18,1
2011-8-23,0,16,92,6,10,0.6
2011-8-24,0,18,72,9,8,0.6
2011-8-26,4,16,84,10,8,1
2011-8-28,0,16,71,10,16,0.6
