date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,99,-2,94,3,14,0
2010-12-3,183,-4,92,5,11,0.2
2010-12-5,225,2,91,9,6,1
2010-12-6,70,-3,98,1,2,0.2
2010-12-7,95,-2,91,9,3,1
2010-12-8,123,0,90,8,14,1
2010-12-9,46,1,77,10,16,1
2010-12-10,54,4,85,10,13,1
2010-12-12,320,3,90,9,8,1
2010-12-13,52,2,91,9,3,0.2
2010-12-14,21,1,81,9,8,1
2010-12-15,31,2,90,7,11,0.6
2010-12-16,145,3,88,9,19,1
2010-12-17,37,-3,88,10,14,1
2010-12-19,43,-2,87,10,11,0
2010-12-20,2,-4,89,7,3,1
2010-12-21,71,1,96,6,6,1
2010-12-22,80,1,94,5,8,0.6
2010-12-23,0,0,82,10,21,1
2011-1-4,3,3,87,9,6,0.6
2011-1-5,20,6,81,9,19,0.6
2011-1-6,16,4,94,7,5,0.6
2011-1-7,82,6,94,5,8,1
2011-1-9,36,4,74,,16,1
2011-1-10,27,4,82,10,14,0.6
2011-1-11,22,6,84,10,19,0.6
2011-1-12,13,8,92,9,16,0.6
2011-1-13,22,12,91,9,23,0.6
2011-1-14,18,10,89,10,26,0.6
2011-1-16,1,11,77,10,27,1
2011-1-17,6,8,92,8,10,0.6
2011-1-18,8,4,87,9,8,0.6
2011-1-19,3,3,88,9,8,1
2011-1-20,0,3,90,9,11,0.6
2011-1-21,11,2,88,8,6,1
2011-1-23,29,6,90,10,14,0.6
2011-1-24,3,4,86,10,10,0.6
2011-1-25,23,6,91,9,10,0.6
2011-1-26,49,4,90,9,10,1
2011-1-27,6,2,71,10,21,1
2011-1-28,17,1,74,10,18,1
2011-1-30,8,1,80,10,11,1
2011-1-31,1,2,81,10,2,1
2011-2-1,-2,3,89,8,11,0.6
2011-2-2,11,6,86,8,14,0.2
2011-2-3,28,8,70,10,19,1
2011-2-4,23,11,69,10,39,1
2011-2-6,20,10,71,10,34,1
2011-2-7,0,9,69,10,27,1
2011-2-8,9,4,74,9,5,0.2
2011-2-9,15,4,80,8,6,1
2011-2-10,1,9,84,6,11,0.6
2011-2-11,29,10,83,9,11,0.6
2011-2-13,46,7,67,10,18,0.6
2011-2-14,17,8,60,10,14,0.6
2011-2-15,69,6,85,10,18,0.6
2011-2-16,66,7,87,10,10,1
2011-2-17,18,7,86,2,10,0.2
2011-2-18,40,4,87,4,10,1
2011-2-20,10,,,3,10,1
2011-2-21,2,6,84,5,10,1
2011-2-22,6,4,83,5,3,1
