date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,10,-2,94,3,14,0
2010-12-3,12,-4,92,5,11,0.2
2010-12-5,64,2,91,9,6,1
2010-12-6,8,-3,98,1,2,0.2
2010-12-7,34,-2,91,9,3,1
2010-12-8,7,0,90,8,14,1
2010-12-9,6,1,77,10,16,1
2010-12-10,4,4,85,10,13,1
2010-12-12,0,3,90,9,8,1
2010-12-13,14,2,91,9,3,0.2
2010-12-14,4,1,81,9,8,1
2010-12-15,8,2,90,7,11,0.6
2010-12-16,3,3,88,9,19,1
2010-12-17,0,-3,88,10,14,1
2010-12-19,24,-2,87,10,11,0
2010-12-20,0,-4,89,7,3,1
2010-12-21,46,1,96,6,6,1
2011-1-4,10,3,87,9,6,0.6
2011-1-6,0,4,94,7,5,0.6
2011-1-7,8,6,94,5,8,1
2011-1-9,18,4,74,,16,1
2011-1-10,6,4,82,10,14,0.6
2011-1-11,0,6,84,10,19,0.6
2011-1-12,1,8,92,9,16,0.6
2011-1-13,8,12,91,9,23,0.6
2011-1-14,1,10,89,10,26,0.6
2011-1-17,4,8,92,8,10,0.6
2011-1-18,2,4,87,9,8,0.6
2011-1-19,1,3,88,9,8,1
2011-1-20,5,3,90,9,11,0.6
2011-1-21,0,2,88,8,6,1
2011-1-24,7,4,86,10,10,0.6
2011-1-25,54,6,91,9,10,0.6
2011-1-26,6,4,90,9,10,1
2011-1-27,-1,2,71,10,21,1
2011-1-28,4,1,74,10,18,1
2011-1-30,27,1,80,10,11,1
2011-1-31,3,2,81,10,2,1
2011-2-1,64,3,89,8,11,0.6
2011-2-2,4,6,86,8,14,0.2
2011-2-3,2,8,70,10,19,1
2011-2-4,96,11,69,10,39,1
2011-2-6,6,10,71,10,34,1
2011-2-8,0,4,74,9,5,0.2
2011-2-9,3,4,80,8,6,1
2011-2-10,10,9,84,6,11,0.6
2011-2-11,11,10,83,9,11,0.6
2011-2-14,6,8,60,10,14,0.6
2011-2-15,13,6,85,10,18,0.6
2011-2-16,50,7,87,10,10,1
2011-2-17,0,7,86,2,10,0.2
2011-2-18,17,4,87,4,10,1
2011-2-20,20,,,3,10,1
2011-2-21,0,6,84,5,10,1
2011-2-22,4,4,83,5,3,1
2011-2-23,30,8,95,5,13,0.6
2011-2-24,10,11,77,9,10,1
2011-2-25,35,11,82,9,13,1
2011-2-27,26,7,78,10,18,0.6
2011-2-28,2,3,89,5,13,0.6
2011-3-1,14,4,84,8,18,1
2011-3-2,0,4,79,5,18,1
2011-3-3,32,3,80,8,18,1
2011-3-4,10,3,79,9,14,1
2011-3-6,2,4,70,10,18,1
2011-3-7,8,4,64,,10,1
2011-3-8,7,4,62,3,10,0.2
2011-3-9,5,8,61,10,23,1
2011-3-10,3,10,64,10,27,0.6
2011-3-11,6,9,63,10,14,1
2011-3-14,6,7,86,8,13,1
2011-3-15,4,7,97,0,13,0.2
2011-3-16,12,7,92,2,14,0.2
2011-3-17,12,6,87,5,8,1
2011-3-18,2,6,82,9,6,0.6
2011-3-20,114,,,,,1
2011-3-21,0,12,70,10,5,1
2011-3-22,3,12,64,9,5,1
2011-3-23,29,10,76,10,5,1
2011-3-24,1,9,70,9,8,1
2011-3-25,5,10,75,8,5,1
2011-3-27,9,8,78,7,14,1
2011-3-28,6,8,64,10,5,1
2011-3-29,33,6,67,7,5,0.2
2011-3-30,17,10,83,8,13,0.6
2011-3-31,0,14,74,10,27,1
2011-4-1,47,13,75,10,24,1
2011-4-3,18,11,65,10,11,1
2011-4-4,0,9,62,10,19,1
2011-4-5,28,10,84,10,24,0.6
2011-4-6,9,18,50,10,19,1
2011-4-7,14,16,63,10,13,1
2011-4-8,10,13,57,,6,1
2011-4-11,22,13,62,10,10,0.6
2011-4-12,31,9,51,10,21,1
2011-4-13,13,7,61,10,8,0.6
2011-4-14,6,10,66,10,8,1
2011-4-15,58,11,62,10,5,1
2011-4-17,12,11,73,8,3,1
2011-4-18,10,11,71,4,6,1
2011-4-19,21,14,63,8,5,1
2011-4-20,7,14,68,7,3,1
2011-4-21,-1,13,71,6,5,1
2011-4-26,36,12,71,10,14,1
2011-4-27,36,11,58,10,16,1
2011-4-28,5,11,73,10,18,0.6
2011-5-1,12,13,64,,21,1
2011-5-3,4,8,57,10,19,1
2011-5-4,8,7,65,10,8,1
2011-5-5,10,12,62,8,6,1
2011-5-6,8,14,54,,6,1
2011-5-8,34,17,65,10,11,0.6
2011-5-9,15,16,59,10,11,1
2011-5-10,2,13,57,10,10,1
2011-5-11,28,12,68,10,6,1
2011-5-12,55,13,57,10,14,1
2011-5-13,9,13,58,10,11,1
2011-5-15,1,10,61,10,16,1
2011-5-16,4,16,62,10,18,0.6
2011-5-17,6,14,66,10,16,1
2011-5-18,13,16,76,10,16,1
2011-5-19,124,12,64,10,6,1
2011-5-20,27,14,56,10,10,1
2011-5-22,42,14,55,10,24,0.6
2011-5-23,12,15,61,10,23,0.6
2011-5-24,21,13,48,10,19,1
2011-5-25,13,12,49,,8,1
2011-5-26,35,13,69,10,21,1
2011-5-27,33,12,67,10,18,1
2011-5-31,11,12,64,10,13,0.6
2011-6-1,5,13,55,10,6,1
2011-6-2,3,14,66,10,8,1
2011-6-3,39,17,69,10,16,1
2011-6-5,5,14,77,10,18,0.6
2011-6-6,11,11,81,9,8,0.6
2011-6-7,17,16,61,10,14,1
2011-6-8,35,13,65,10,19,0.6
2011-6-9,2,13,67,10,13,0.6
2011-6-10,13,11,73,10,6,1
2011-6-13,38,18,69,10,19,1
2011-6-14,12,15,64,10,8,1
2011-6-15,32,17,74,10,13,0.6
2011-6-16,0,14,76,10,16,0.6
2011-6-17,7,13,82,9,14,0.6
2011-6-19,12,14,64,10,23,0.6
2011-6-20,9,13,80,10,6,0.6
2011-6-21,14,18,70,10,21,1
2011-6-22,9,14,73,10,21,0.6
2011-6-24,12,14,64,10,13,0.6
2011-6-26,7,19,78,9,6,1
2011-6-27,0,24,61,5,8,1
2011-6-28,7,20,82,9,8,1
2011-6-29,31,16,57,10,13,1
2011-6-30,27,15,57,10,10,1
2011-7-1,15,,,10,8,1
2011-7-3,1,19,57,10,6,1
2011-7-4,0,14,62,10,6,1
2011-7-5,29,17,66,9,6,0.6
2011-7-6,0,17,67,10,21,0.6
2011-7-7,6,17,67,10,21,0.6
2011-7-8,0,17,72,10,19,0.6
2011-7-10,8,17,68,10,10,1
2011-7-11,0,17,71,10,6,1
2011-7-12,2,17,75,9,14,0.6
2011-7-13,0,14,64,10,14,0.6
2011-7-14,6,16,64,10,14,1
2011-7-15,147,16,54,10,8,1
2011-7-17,0,16,77,10,19,0.6
2011-7-18,12,17,76,10,26,0.6
2011-7-19,3,16,70,10,11,0.6
2011-7-20,34,16,73,9,6,0.6
2011-7-21,27,16,83,9,5,0.6
2011-7-22,6,16,67,10,10,0.6
2011-7-24,0,16,59,10,14,1
2011-7-25,6,16,67,10,6,1
2011-7-26,11,16,74,10,6,0.6
2011-7-27,14,17,74,10,11,1
2011-7-28,12,19,73,9,6,1
2011-7-29,170,14,79,8,5,0.2
2011-8-1,13,19,60,10,8,1
2011-8-2,6,21,55,10,5,1
2011-8-3,7,23,53,8,6,1
2011-8-4,50,18,87,8,14,0.6
2011-8-5,24,20,68,10,10,1
2011-8-8,0,17,56,10,23,0.6
2011-8-10,33,18,56,,16,1
2011-8-11,2,18,78,10,24,1
2011-8-12,24,19,72,10,8,1
2011-8-16,3,18,67,10,18,1
2011-8-17,6,18,59,10,10,0.6
2011-8-21,49,21,60,9,8,1
2011-8-22,40,18,64,10,8,1
2011-8-23,14,16,92,6,10,0.6
2011-8-24,9,18,72,9,8,0.6
2011-8-25,19,18,68,10,13,1
2011-8-28,0,16,71,10,16,0.6
2011-8-30,6,14,66,10,10,1
2011-8-31,26,14,68,10,3,1
2011-9-1,7,14,67,10,13,1
2011-9-2,80,20,68,7,8,1
2011-9-4,16,17,77,10,14,0.6
2011-9-6,0,17,81,10,32,0.6
2011-9-7,66,14,63,10,27,0.6
2011-9-8,23,17,71,10,19,1
2011-9-9,3,19,79,10,14,1
2011-9-11,35,18,64,10,24,1
2011-9-12,73,19,68,10,32,1
2011-9-13,42,17,59,10,26,1
2011-9-14,55,16,57,10,19,1
2011-9-15,0,13,66,10,5,1
2011-9-16,24,18,70,10,13,1
2011-9-19,35,14,64,10,18,1
2011-9-20,-1,18,75,10,23,1
2011-9-21,0,16,74,9,11,0.6
2011-9-22,35,16,60,10,14,1
2011-9-23,6,14,67,10,10,1
2011-9-25,16,17,68,10,16,0.2
2011-9-26,12,20,73,10,14,1
2011-9-27,2,17,80,7,5,0.2
2011-9-28,7,17,79,6,5,0.2
2011-9-29,24,18,68,6,3,0.2
2011-9-30,18,18,62,7,5,0.2
2011-10-2,1,19,51,10,6,0.2
2011-10-3,0,21,51,8,16,1
2011-10-4,4,17,69,10,18,1
2011-10-5,15,19,68,10,27,1
2011-10-6,198,13,53,10,27,1
2011-10-7,77,12,70,10,19,0.6
2011-10-10,7,18,66,10,34,1
2011-10-11,25,18,71,10,32,1
2011-10-12,11,17,70,10,16,1
2011-10-13,18,14,78,9,11,1
2011-10-14,1,11,59,10,10,1
2011-10-16,4,9,74,9,3,0.2
2011-10-17,0,12,68,10,18,1
2011-10-18,28,10,56,10,21,1
2011-10-19,7,9,62,10,16,0.6
2011-10-20,9,7,65,10,8,1
2011-10-21,32,10,67,10,10,1
2011-10-24,3,12,74,10,16,1
2011-10-25,15,13,73,10,8,0.6
2011-10-26,8,11,79,10,11,0.6
2011-10-27,3,12,80,10,8,0.6
2011-10-28,15,12,83,8,5,1
2011-10-30,0,16,82,10,18,1
2011-10-31,28,13,80,10,13,1
2011-11-1,8,12,77,10,11,0.6
2011-11-2,6,13,79,10,13,1
2011-11-3,0,17,82,10,14,0.6
2011-11-4,0,14,81,10,13,0.6
2011-11-6,6,10,79,10,18,1
2011-11-7,2,12,84,5,18,1
2011-11-8,3,10,85,5,5,1
2011-11-9,11,13,83,10,5,1
2011-11-10,49,11,92,5,6,0.2
2011-11-11,0,9,91,5,10,0.2
2011-11-13,11,11,88,5,8,0.2
2011-11-14,56,9,89,2,8,1
2011-11-15,14,8,82,6,8,0.2
2011-11-16,12,6,92,5,5,0.2
2011-11-17,9,12,86,8,8,1
2011-11-18,12,12,87,10,13,1
2011-11-20,19,7,97,5,2,0.2
2011-11-21,14,6,97,3,3,0.2
2011-11-22,7,11,98,3,2,1
2011-11-23,8,7,89,7,8,0.2
2011-11-24,33,11,87,10,14,1
2011-11-25,12,11,72,10,23,1
2011-11-27,17,10,72,10,23,0.6
2011-11-28,1,4,83,10,8,1
2011-11-29,1,11,82,10,29,0.6
2011-11-30,30,9,78,10,16,1
2011-12-1,9,9,85,10,10,0.6
2011-12-2,9,6,87,10,11,1
2011-12-4,6,7,82,10,18,0.6
2011-12-5,0,4,77,10,24,1
2011-12-6,155,4,80,10,19,0.6
2011-12-7,1,7,58,10,31,1
2011-12-8,36,10,85,10,31,0.6
2011-12-9,33,6,70,10,23,1
2011-12-9,18,6,70,10,23,1
