date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,0,-2,94,3,14,0
2010-12-5,91,2,91,9,6,1
2010-12-6,0,-3,98,1,2,0.2
2010-12-7,22,-2,91,9,3,1
2010-12-8,1,0,90,8,14,1
2010-12-9,0,1,77,10,16,1
2010-12-10,1,4,85,10,13,1
2010-12-14,0,1,81,9,8,1
2010-12-15,98,2,90,7,11,0.6
2010-12-16,48,3,88,9,19,1
2010-12-19,12,-2,87,10,11,0
2010-12-20,0,-4,89,7,3,1
2010-12-21,0,1,96,6,6,1
2011-1-5,1,6,81,9,19,0.6
2011-1-6,0,4,94,7,5,0.6
2011-1-7,7,6,94,5,8,1
2011-1-10,0,4,82,10,14,0.6
2011-1-11,75,6,84,10,19,0.6
2011-1-12,0,8,92,9,16,0.6
2011-1-13,0,12,91,9,23,0.6
2011-1-16,0,11,77,10,27,1
2011-1-18,1,4,87,9,8,0.6
2011-1-19,0,3,88,9,8,1
2011-1-20,8,3,90,9,11,0.6
2011-1-21,0,2,88,8,6,1
2011-1-23,0,6,90,10,14,0.6
2011-1-25,0,6,91,9,10,0.6
2011-1-26,6,4,90,9,10,1
2011-1-27,0,2,71,10,21,1
2011-1-28,2,1,74,10,18,1
2011-1-31,3,2,81,10,2,1
2011-2-1,0,3,89,8,11,0.6
2011-2-4,0,11,69,10,39,1
2011-2-7,6,9,69,10,27,1
2011-2-8,0,4,74,9,5,0.2
2011-2-9,0,4,80,8,6,1
2011-2-11,0,10,83,9,11,0.6
2011-2-15,0,6,85,10,18,0.6
2011-2-16,0,7,87,10,10,1
2011-2-17,0,7,86,2,10,0.2
2011-2-20,6,,,3,10,1
2011-2-21,0,6,84,5,10,1
2011-2-22,1,4,83,5,3,1
2011-2-23,6,8,95,5,13,0.6
2011-2-24,0,11,77,9,10,1
2011-2-25,0,11,82,9,13,1
2011-2-28,1,3,89,5,13,0.6
2011-3-2,0,4,79,5,18,1
2011-3-3,0,3,80,8,18,1
2011-3-4,1,3,79,9,14,1
2011-3-6,0,4,70,10,18,1
2011-3-7,50,4,64,,10,1
2011-3-9,0,8,61,10,23,1
