date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,10,-2,94,3,14,0
2010-12-3,6,-4,92,5,11,0.2
2010-12-6,5,-3,98,1,2,0.2
2010-12-7,0,-2,91,9,3,1
2010-12-8,12,0,90,8,14,1
2010-12-9,7,1,77,10,16,1
2010-12-10,0,4,85,10,13,1
2010-12-12,7,3,90,9,8,1
2010-12-13,1,2,91,9,3,0.2
2010-12-14,0,1,81,9,8,1
2010-12-15,13,2,90,7,11,0.6
2010-12-16,13,3,88,9,19,1
2010-12-17,6,-3,88,10,14,1
2010-12-19,1,-2,87,10,11,0
2010-12-20,0,-4,89,7,3,1
2010-12-21,0,1,96,6,6,1
2011-1-6,11,4,94,7,5,0.6
2011-1-7,17,6,94,5,8,1
2011-1-9,0,4,74,,16,1
2011-1-11,6,6,84,10,19,0.6
2011-1-12,0,8,92,9,16,0.6
2011-1-13,0,12,91,9,23,0.6
2011-1-14,7,10,89,10,26,0.6
2011-1-16,4,11,77,10,27,1
2011-1-18,4,4,87,9,8,0.6
2011-1-19,0,3,88,9,8,1
2011-1-21,0,2,88,8,6,1
2011-1-23,5,6,90,10,14,0.6
2011-1-24,0,4,86,10,10,0.6
2011-1-25,1,6,91,9,10,0.6
2011-1-26,5,4,90,9,10,1
2011-1-28,0,1,74,10,18,1
2011-2-2,6,6,86,8,14,0.2
2011-2-3,1,8,70,10,19,1
2011-2-4,0,11,69,10,39,1
2011-2-7,0,9,69,10,27,1
2011-2-8,0,4,74,9,5,0.2
2011-2-11,4,10,83,9,11,0.6
2011-2-14,3,8,60,10,14,0.6
2011-2-17,0,7,86,2,10,0.2
2011-2-18,0,4,87,4,10,1
2011-2-21,1,6,84,5,10,1
2011-2-22,0,4,83,5,3,1
2011-2-23,2,8,95,5,13,0.6
2011-2-25,0,11,82,9,13,1
2011-2-28,2,3,89,5,13,0.6
2011-3-1,0,4,84,8,18,1
2011-3-3,0,3,80,8,18,1
2011-3-6,2,4,70,10,18,1
2011-3-7,1,4,64,,10,1
2011-3-8,0,4,62,3,10,0.2
2011-3-9,0,8,61,10,23,1
2011-3-10,2,10,64,10,27,0.6
2011-3-11,2,9,63,10,14,1
2011-3-15,0,7,97,0,13,0.2
2011-3-16,15,7,92,2,14,0.2
2011-3-17,6,6,87,5,8,1
2011-3-18,1,6,82,9,6,0.6
2011-3-20,0,,,,,1
2011-3-22,0,12,64,9,5,1
2011-3-23,3,10,76,10,5,1
2011-3-24,1,9,70,9,8,1
2011-3-25,6,10,75,8,5,1
2011-3-27,1,8,78,7,14,1
2011-3-29,0,6,67,7,5,0.2
2011-3-31,4,14,74,10,27,1
2011-4-1,1,13,75,10,24,1
2011-4-4,0,9,62,10,19,1
2011-4-5,2,10,84,10,24,0.6
2011-4-6,0,18,50,10,19,1
2011-4-7,2,16,63,10,13,1
2011-4-8,0,13,57,,6,1
2011-4-11,24,13,62,10,10,0.6
2011-4-13,7,7,61,10,8,0.6
2011-4-14,0,10,66,10,8,1
2011-4-15,6,11,62,10,5,1
2011-4-17,3,11,73,8,3,1
2011-4-18,0,11,71,4,6,1
2011-4-19,0,14,63,8,5,1
2011-4-20,0,14,68,7,3,1
2011-4-21,5,13,71,6,5,1
2011-4-26,4,12,71,10,14,1
2011-4-27,5,11,58,10,16,1
2011-5-3,0,8,57,10,19,1
2011-5-4,7,7,65,10,8,1
2011-5-5,0,12,62,8,6,1
2011-5-6,0,14,54,,6,1
2011-5-9,1,16,59,10,11,1
2011-5-11,0,12,68,10,6,1
2011-5-13,7,13,58,10,11,1
2011-5-17,0,14,66,10,16,1
2011-5-19,2,12,64,10,6,1
2011-5-20,0,14,56,10,10,1
2011-5-22,3,14,55,10,24,0.6
2011-5-24,0,13,48,10,19,1
2011-5-25,3,12,49,,8,1
2011-5-26,2,13,69,10,21,1
2011-5-27,0,12,67,10,18,1
2011-5-29,12,17,69,10,23,1
2011-5-31,1,12,64,10,13,0.6
2011-6-1,0,13,55,10,6,1
2011-6-2,0,14,66,10,8,1
2011-6-3,1,17,69,10,16,1
2011-6-5,0,14,77,10,18,0.6
2011-6-6,7,11,81,9,8,0.6
2011-6-7,2,16,61,10,14,1
2011-6-8,1,13,65,10,19,0.6
2011-6-9,1,13,67,10,13,0.6
2011-6-10,0,11,73,10,6,1
2011-6-12,0,11,77,9,14,0.6
2011-6-14,2,15,64,10,8,1
2011-6-15,0,17,74,10,13,0.6
2011-6-20,0,13,80,10,6,0.6
2011-6-21,2,18,70,10,21,1
2011-6-23,14,14,65,10,18,0.6
2011-6-24,17,14,64,10,13,0.6
2011-6-27,1,24,61,5,8,1
2011-6-28,1,20,82,9,8,1
2011-6-29,0,16,57,10,13,1
2011-6-30,0,15,57,10,10,1
2011-7-1,0,,,10,8,1
2011-7-4,1,14,62,10,6,1
2011-7-5,6,17,66,9,6,0.6
2011-7-6,0,17,67,10,21,0.6
2011-7-7,0,17,67,10,21,0.6
2011-7-8,1,17,72,10,19,0.6
2011-7-11,0,17,71,10,6,1
2011-7-12,0,17,75,9,14,0.6
2011-7-13,0,14,64,10,14,0.6
2011-7-14,1,16,64,10,14,1
2011-7-17,7,16,77,10,19,0.6
2011-7-18,6,17,76,10,26,0.6
2011-7-19,0,16,70,10,11,0.6
2011-7-20,6,16,73,9,6,0.6
2011-7-22,0,16,67,10,10,0.6
2011-7-25,0,16,67,10,6,1
2011-7-27,10,17,74,10,11,1
2011-7-28,0,19,73,9,6,1
2011-7-29,0,14,79,8,5,0.2
2011-7-31,2,17,60,10,10,1
2011-8-3,12,23,53,8,6,1
2011-8-4,0,18,87,8,14,0.6
2011-8-5,0,20,68,10,10,1
2011-8-8,2,17,56,10,23,0.6
2011-8-9,0,16,51,10,14,1
2011-8-10,7,18,56,,16,1
2011-8-11,2,18,78,10,24,1
2011-8-12,0,19,72,10,8,1
2011-8-15,1,18,52,10,11,0.6
2011-8-17,0,18,59,10,10,0.6
2011-8-18,6,14,78,10,14,0.6
2011-8-19,0,16,58,10,11,1
2011-8-24,0,18,72,9,8,0.6
2011-8-25,6,18,68,10,13,1
2011-8-28,4,16,71,10,16,0.6
2011-8-30,1,14,66,10,10,1
2011-8-31,2,14,68,10,3,1
2011-9-1,0,14,67,10,13,1
2011-9-2,13,20,68,7,8,1
2011-9-4,1,17,77,10,14,0.6
2011-9-5,1,16,62,10,27,1
2011-9-6,0,17,81,10,32,0.6
2011-9-7,4,14,63,10,27,0.6
2011-9-9,0,19,79,10,14,1
2011-9-11,6,18,64,10,24,1
2011-9-13,1,17,59,10,26,1
2011-9-15,2,13,66,10,5,1
2011-9-16,1,18,70,10,13,1
2011-9-20,3,18,75,10,23,1
2011-9-21,0,16,74,9,11,0.6
2011-9-22,4,16,60,10,14,1
2011-9-23,0,14,67,10,10,1
2011-9-27,0,17,80,7,5,0.2
2011-9-29,1,18,68,6,3,0.2
2011-9-30,16,18,62,7,5,0.2
2011-10-2,8,19,51,10,6,0.2
2011-10-3,2,21,51,8,16,1
2011-10-4,0,17,69,10,18,1
2011-10-5,3,19,68,10,27,1
2011-10-6,9,13,53,10,27,1
2011-10-7,6,12,70,10,19,0.6
2011-10-10,3,18,66,10,34,1
2011-10-11,10,18,71,10,32,1
2011-10-12,3,17,70,10,16,1
2011-10-14,6,11,59,10,10,1
2011-10-16,0,9,74,9,3,0.2
2011-10-17,0,12,68,10,18,1
2011-10-18,0,10,56,10,21,1
2011-10-19,4,9,62,10,16,0.6
2011-10-20,1,7,65,10,8,1
2011-10-21,9,10,67,10,10,1
2011-10-23,0,14,69,10,18,1
2011-10-24,2,12,74,10,16,1
2011-10-26,2,11,79,10,11,0.6
2011-10-27,0,12,80,10,8,0.6
2011-10-28,0,12,83,8,5,1
2011-10-30,0,16,82,10,18,1
2011-10-31,0,13,80,10,13,1
2011-11-2,2,13,79,10,13,1
2011-11-4,2,14,81,10,13,0.6
2011-11-8,1,10,85,5,5,1
2011-11-9,6,13,83,10,5,1
2011-11-10,21,11,92,5,6,0.2
2011-11-11,0,9,91,5,10,0.2
2011-11-13,12,11,88,5,8,0.2
2011-11-14,0,9,89,2,8,1
2011-11-15,7,8,82,6,8,0.2
2011-11-16,7,6,92,5,5,0.2
2011-11-17,3,12,86,8,8,1
2011-11-18,57,12,87,10,13,1
2011-11-20,0,7,97,5,2,0.2
2011-11-21,4,6,97,3,3,0.2
2011-11-22,0,11,98,3,2,1
2011-11-24,18,11,87,10,14,1
2011-11-25,18,11,72,10,23,1
2011-11-27,7,10,72,10,23,0.6
2011-11-28,1,4,83,10,8,1
2011-11-29,1,11,82,10,29,0.6
2011-11-30,4,9,78,10,16,1
2011-12-1,2,9,85,10,10,0.6
2011-12-2,17,6,87,10,11,1
2011-12-5,4,4,77,10,24,1
2011-12-6,18,4,80,10,19,0.6
2011-12-8,11,10,85,10,31,0.6
2011-12-9,14,6,70,10,23,1
2011-12-9,0,6,70,10,23,1
