date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-6,0,-3,98,1,2,0.2
2010-12-7,0,-2,91,9,3,1
2010-12-8,3,0,90,8,14,1
2010-12-9,0,1,77,10,16,1
2010-12-10,5,4,85,10,13,1
2010-12-13,1,2,91,9,3,0.2
2010-12-15,0,2,90,7,11,0.6
2010-12-17,0,-3,88,10,14,1
2010-12-20,2,-4,89,7,3,1
2010-12-23,5,0,82,10,21,1
2011-1-4,0,3,87,9,6,0.6
2011-1-7,0,6,94,5,8,1
2011-1-10,0,4,82,10,14,0.6
2011-1-12,2,8,92,9,16,0.6
2011-1-13,0,12,91,9,23,0.6
2011-1-17,0,8,92,8,10,0.6
2011-1-18,3,4,87,9,8,0.6
2011-1-24,0,4,86,10,10,0.6
2011-1-27,2,2,71,10,21,1
2011-1-31,13,2,81,10,2,1
2011-2-7,13,9,69,10,27,1
2011-2-9,0,4,80,8,6,1
2011-2-14,0,8,60,10,14,0.6
2011-2-15,1,6,85,10,18,0.6
2011-2-22,4,4,83,5,3,1
2011-2-27,0,7,78,10,18,0.6
2011-2-28,0,3,89,5,13,0.6
2011-3-1,0,4,84,8,18,1
2011-3-4,0,3,79,9,14,1
2011-3-16,0,7,92,2,14,0.2
2011-3-17,0,6,87,5,8,1
2011-3-18,3,6,82,9,6,0.6
2011-3-20,0,,,,,1
2011-3-22,0,12,64,9,5,1
2011-4-7,2,16,63,10,13,1
2011-4-8,0,13,57,,6,1
2011-4-10,0,10,64,8,10,1
2011-4-13,0,7,61,10,8,0.6
2011-4-15,0,11,62,10,5,1
2011-4-18,0,11,71,4,6,1
2011-4-19,13,14,63,8,5,1
2011-5-4,2,7,65,10,8,1
2011-5-5,0,12,62,8,6,1
2011-5-10,0,13,57,10,10,1
2011-5-12,0,13,57,10,14,1
2011-5-13,0,13,58,10,11,1
2011-5-16,0,16,62,10,18,0.6
2011-5-17,0,14,66,10,16,1
2011-5-19,0,12,64,10,6,1
2011-5-22,0,14,55,10,24,0.6
2011-6-1,15,13,55,10,6,1
2011-6-3,7,17,69,10,16,1
2011-6-6,0,11,81,9,8,0.6
2011-6-7,0,16,61,10,14,1
2011-6-9,0,13,67,10,13,0.6
2011-6-14,0,15,64,10,8,1
2011-6-15,0,17,74,10,13,0.6
2011-6-20,0,13,80,10,6,0.6
2011-6-21,0,18,70,10,21,1
2011-6-23,0,14,65,10,18,0.6
2011-6-26,0,19,78,9,6,1
2011-6-30,2,15,57,10,10,1
2011-7-4,0,14,62,10,6,1
2011-7-5,1,17,66,9,6,0.6
2011-7-6,0,17,67,10,21,0.6
2011-7-7,0,17,67,10,21,0.6
2011-7-14,0,16,64,10,14,1
2011-7-18,0,17,76,10,26,0.6
2011-7-25,0,16,67,10,6,1
2011-7-28,1,19,73,9,6,1
2011-7-31,0,17,60,10,10,1
2011-8-1,0,19,60,10,8,1
2011-8-2,0,21,55,10,5,1
2011-8-30,0,14,66,10,10,1
2011-9-7,11,14,63,10,27,0.6
2011-9-8,0,17,71,10,19,1
2011-9-9,0,19,79,10,14,1
2011-9-12,0,19,68,10,32,1
2011-9-13,1,17,59,10,26,1
2011-9-14,0,16,57,10,19,1
2011-9-21,0,16,74,9,11,0.6
2011-9-22,2,16,60,10,14,1
2011-9-23,0,14,67,10,10,1
2011-9-26,2,20,73,10,14,1
2011-9-28,0,17,79,6,5,0.2
2011-9-29,0,18,68,6,3,0.2
2011-10-3,0,21,51,8,16,1
2011-10-9,4,18,78,10,21,0.6
2011-10-10,0,18,66,10,34,1
2011-10-11,3,18,71,10,32,1
2011-10-12,0,17,70,10,16,1
2011-10-13,1,14,78,9,11,1
2011-10-17,0,12,68,10,18,1
2011-10-18,1,10,56,10,21,1
2011-10-31,0,13,80,10,13,1
2011-11-2,8,13,79,10,13,1
2011-11-6,0,10,79,10,18,1
2011-11-8,3,10,85,5,5,1
2011-11-10,0,11,92,5,6,0.2
2011-11-11,0,9,91,5,10,0.2
2011-11-14,12,9,89,2,8,1
2011-11-15,7,8,82,6,8,0.2
2011-11-16,0,6,92,5,5,0.2
2011-11-21,0,6,97,3,3,0.2
2011-11-23,0,7,89,7,8,0.2
2011-11-24,0,11,87,10,14,1
2011-11-25,0,11,72,10,23,1
2011-11-28,0,4,83,10,8,1
2011-11-30,2,9,78,10,16,1
2011-12-2,0,6,87,10,11,1
2011-12-5,0,4,77,10,24,1
2011-12-6,4,4,80,10,19,0.6
2011-12-7,0,7,58,10,31,1
2011-12-8,0,10,85,10,31,0.6
2011-12-9,1,6,70,10,23,1
2011-12-9,0,6,70,10,23,1
