date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-7,0,-2,91,9,3,1
2010-12-12,0,3,90,9,8,1
2010-12-13,0,2,91,9,3,0.2
2010-12-16,1,3,88,9,19,1
2010-12-17,-6,-3,88,10,14,1
2010-12-21,3,1,96,6,6,1
2011-1-4,1,3,87,9,6,0.6
2011-1-5,0,6,81,9,19,0.6
2011-1-11,0,6,84,10,19,0.6
2011-1-12,0,8,92,9,16,0.6
2011-1-17,0,8,92,8,10,0.6
2011-1-18,0,4,87,9,8,0.6
2011-1-20,4,3,90,9,11,0.6
2011-1-21,0,2,88,8,6,1
2011-1-23,6,6,90,10,14,0.6
2011-1-24,0,4,86,10,10,0.6
2011-1-26,0,4,90,9,10,1
2011-1-27,0,2,71,10,21,1
2011-1-30,0,1,80,10,11,1
2011-2-2,0,6,86,8,14,0.2
2011-2-7,0,9,69,10,27,1
2011-2-8,0,4,74,9,5,0.2
2011-2-9,0,4,80,8,6,1
2011-2-11,4,10,83,9,11,0.6
2011-2-15,0,6,85,10,18,0.6
2011-2-17,4,7,86,2,10,0.2
2011-2-20,2,,,3,10,1
2011-2-22,0,4,83,5,3,1
2011-2-23,3,8,95,5,13,0.6
2011-2-25,0,11,82,9,13,1
2011-2-27,0,7,78,10,18,0.6
2011-3-1,0,4,84,8,18,1
2011-3-4,7,3,79,9,14,1
2011-3-7,2,4,64,,10,1
2011-3-8,0,4,62,3,10,0.2
2011-3-10,2,10,64,10,27,0.6
2011-3-14,0,7,86,8,13,1
2011-3-16,0,7,92,2,14,0.2
2011-3-17,6,6,87,5,8,1
2011-3-18,0,6,82,9,6,0.6
2011-3-20,0,,,,,1
2011-3-21,0,12,70,10,5,1
2011-3-22,0,12,64,9,5,1
2011-3-25,0,10,75,8,5,1
2011-3-27,2,8,78,7,14,1
2011-3-31,0,14,74,10,27,1
2011-4-3,1,11,65,10,11,1
2011-4-4,1,9,62,10,19,1
2011-4-5,0,10,84,10,24,0.6
2011-4-6,0,18,50,10,19,1
2011-4-7,0,16,63,10,13,1
2011-4-10,0,10,64,8,10,1
2011-4-11,2,13,62,10,10,0.6
2011-4-13,0,7,61,10,8,0.6
2011-4-14,0,10,66,10,8,1
2011-4-15,0,11,62,10,5,1
2011-4-18,0,11,71,4,6,1
2011-4-19,0,14,63,8,5,1
2011-4-28,1,11,73,10,18,0.6
2011-5-1,0,13,64,,21,1
2011-5-5,0,12,62,8,6,1
2011-5-6,0,14,54,,6,1
2011-5-9,0,16,59,10,11,1
2011-5-10,0,13,57,10,10,1
2011-5-13,0,13,58,10,11,1
2011-5-19,0,12,64,10,6,1
2011-5-22,0,14,55,10,24,0.6
2011-5-24,12,13,48,10,19,1
2011-5-26,3,13,69,10,21,1
2011-5-31,0,12,64,10,13,0.6
2011-6-1,2,13,55,10,6,1
2011-6-2,0,14,66,10,8,1
2011-6-3,0,17,69,10,16,1
2011-6-5,0,14,77,10,18,0.6
2011-6-8,0,13,65,10,19,0.6
2011-6-9,0,13,67,10,13,0.6
2011-6-10,12,11,73,10,6,1
2011-6-13,0,18,69,10,19,1
2011-6-15,13,17,74,10,13,0.6
2011-6-16,0,14,76,10,16,0.6
2011-6-19,0,14,64,10,23,0.6
2011-6-21,0,18,70,10,21,1
2011-6-23,37,14,65,10,18,0.6
2011-6-26,6,19,78,9,6,1
2011-6-27,0,24,61,5,8,1
2011-7-4,0,14,62,10,6,1
2011-7-6,0,17,67,10,21,0.6
2011-7-12,0,17,75,9,14,0.6
2011-7-18,0,17,76,10,26,0.6
2011-7-31,0,17,60,10,10,1
2011-8-4,0,18,87,8,14,0.6
2011-8-11,0,18,78,10,24,1
2011-8-17,0,18,59,10,10,0.6
2011-8-30,0,14,66,10,10,1
2011-9-2,3,20,68,7,8,1
2011-9-7,0,14,63,10,27,0.6
2011-9-8,0,17,71,10,19,1
2011-9-11,2,18,64,10,24,1
2011-9-12,0,19,68,10,32,1
2011-9-13,0,17,59,10,26,1
2011-9-15,2,13,66,10,5,1
2011-9-18,0,13,73,10,8,0.6
2011-9-21,-4,16,74,9,11,0.6
2011-9-22,0,16,60,10,14,1
2011-9-23,0,14,67,10,10,1
2011-9-26,0,20,73,10,14,1
2011-9-29,2,18,68,6,3,0.2
2011-9-30,0,18,62,7,5,0.2
2011-10-10,0,18,66,10,34,1
2011-10-11,0,18,71,10,32,1
2011-10-17,0,12,68,10,18,1
2011-10-21,24,10,67,10,10,1
2011-10-23,0,14,69,10,18,1
2011-10-25,0,13,73,10,8,0.6
2011-10-27,0,12,80,10,8,0.6
2011-10-30,0,16,82,10,18,1
2011-10-31,7,13,80,10,13,1
2011-11-3,0,17,82,10,14,0.6
2011-11-6,4,10,79,10,18,1
2011-11-7,3,12,84,5,18,1
2011-11-8,0,10,85,5,5,1
2011-11-9,0,13,83,10,5,1
2011-11-10,0,11,92,5,6,0.2
2011-11-11,12,9,91,5,10,0.2
2011-11-13,0,11,88,5,8,0.2
2011-11-14,0,9,89,2,8,1
2011-11-20,2,7,97,5,2,0.2
2011-11-23,0,7,89,7,8,0.2
2011-11-25,3,11,72,10,23,1
2011-11-29,1,11,82,10,29,0.6
2011-11-30,0,9,78,10,16,1
2011-12-4,1,7,82,10,18,0.6
2011-12-5,1,4,77,10,24,1
2011-12-7,1,7,58,10,31,1
2011-12-8,0,10,85,10,31,0.6
2011-12-9,3,6,70,10,23,1
2011-12-9,0,6,70,10,23,1
