date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-5,0,2,91,9,6,1
2010-12-7,12,-2,91,9,3,1
2010-12-13,0,2,91,9,3,0.2
2010-12-17,0,-3,88,10,14,1
2011-1-6,0,4,94,7,5,0.6
2011-1-12,1,8,92,9,16,0.6
2011-1-19,0,3,88,9,8,1
2011-1-31,0,2,81,10,2,1
2011-2-3,10,8,70,10,19,1
2011-2-8,0,4,74,9,5,0.2
2011-2-9,1,4,80,8,6,1
2011-2-18,0,4,87,4,10,1
2011-2-22,0,4,83,5,3,1
2011-3-8,0,4,62,3,10,0.2
2011-3-9,0,8,61,10,23,1
2011-3-18,0,6,82,9,6,0.6
2011-3-20,0,,,,,1
2011-3-22,0,12,64,9,5,1
2011-3-28,16,8,64,10,5,1
2011-3-29,0,6,67,7,5,0.2
2011-3-31,0,14,74,10,27,1
2011-4-6,0,18,50,10,19,1
2011-4-8,0,13,57,,6,1
2011-4-17,6,11,73,8,3,1
2011-4-18,0,11,71,4,6,1
2011-4-19,1,14,63,8,5,1
2011-4-21,0,13,71,6,5,1
2011-4-27,0,11,58,10,16,1
2011-5-4,1,7,65,10,8,1
2011-5-5,0,12,62,8,6,1
2011-5-6,0,14,54,,6,1
2011-5-9,0,16,59,10,11,1
2011-5-10,0,13,57,10,10,1
2011-5-12,0,13,57,10,14,1
2011-5-20,0,14,56,10,10,1
2011-5-24,1,13,48,10,19,1
2011-5-25,1,12,49,,8,1
2011-5-29,0,17,69,10,23,1
2011-5-31,0,12,64,10,13,0.6
2011-6-2,0,14,66,10,8,1
2011-6-5,1,14,77,10,18,0.6
2011-6-6,0,11,81,9,8,0.6
2011-6-7,0,16,61,10,14,1
2011-6-9,14,13,67,10,13,0.6
2011-6-10,250,11,73,10,6,1
2011-6-14,1,15,64,10,8,1
2011-6-15,0,17,74,10,13,0.6
2011-6-21,3,18,70,10,21,1
2011-6-22,0,14,73,10,21,0.6
2011-6-24,0,14,64,10,13,0.6
2011-6-28,0,20,82,9,8,1
2011-6-29,0,16,57,10,13,1
2011-6-30,0,15,57,10,10,1
2011-7-4,0,14,62,10,6,1
2011-7-6,0,17,67,10,21,0.6
2011-7-7,103,17,67,10,21,0.6
2011-7-11,0,17,71,10,6,1
2011-7-12,0,17,75,9,14,0.6
2011-7-19,0,16,70,10,11,0.6
2011-7-20,20,16,73,9,6,0.6
2011-7-24,0,16,59,10,14,1
2011-7-25,0,16,67,10,6,1
2011-7-28,0,19,73,9,6,1
2011-8-2,0,21,55,10,5,1
2011-8-3,0,23,53,8,6,1
2011-8-4,9,18,87,8,14,0.6
2011-8-8,0,17,56,10,23,0.6
2011-8-10,0,18,56,,16,1
2011-8-12,0,19,72,10,8,1
2011-8-17,0,18,59,10,10,0.6
2011-8-18,0,14,78,10,14,0.6
2011-8-25,0,18,68,10,13,1
2011-8-30,-20,14,66,10,10,1
2011-9-5,81,16,62,10,27,1
2011-9-8,0,17,71,10,19,1
2011-9-12,0,19,68,10,32,1
2011-9-20,0,18,75,10,23,1
2011-9-21,0,16,74,9,11,0.6
2011-9-22,0,16,60,10,14,1
2011-9-27,0,17,80,7,5,0.2
2011-10-3,0,21,51,8,16,1
2011-10-4,0,17,69,10,18,1
2011-10-12,0,17,70,10,16,1
2011-10-18,1,10,56,10,21,1
2011-10-24,2,12,74,10,16,1
2011-10-31,1,13,80,10,13,1
2011-11-8,0,10,85,5,5,1
2011-11-9,0,13,83,10,5,1
2011-11-11,12,9,91,5,10,0.2
2011-11-14,83,9,89,2,8,1
2011-11-15,0,8,82,6,8,0.2
2011-11-16,1,6,92,5,5,0.2
2011-11-20,0,7,97,5,2,0.2
2011-11-21,1,6,97,3,3,0.2
2011-11-22,1,11,98,3,2,1
2011-11-23,0,7,89,7,8,0.2
2011-11-24,10,11,87,10,14,1
2011-11-25,4,11,72,10,23,1
2011-11-29,60,11,82,10,29,0.6
2011-12-1,0,9,85,10,10,0.6
2011-12-5,0,4,77,10,24,1
2011-12-6,40,4,80,10,19,0.6
2011-12-8,0,10,85,10,31,0.6
2011-12-9,0,6,70,10,23,1
2011-12-9,0,6,70,10,23,1
