date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,21,-2,94,3,14,0
2010-12-3,1,-4,92,5,11,0.2
2010-12-5,3,2,91,9,6,1
2010-12-6,16,-3,98,1,2,0.2
2010-12-7,34,-2,91,9,3,1
2010-12-8,21,0,90,8,14,1
2010-12-9,35,1,77,10,16,1
2010-12-10,9,4,85,10,13,1
2010-12-12,4,3,90,9,8,1
2010-12-13,0,2,91,9,3,0.2
2010-12-14,8,1,81,9,8,1
2010-12-15,14,2,90,7,11,0.6
2010-12-16,1,3,88,9,19,1
2010-12-17,13,-3,88,10,14,1
2010-12-19,24,-2,87,10,11,0
2010-12-20,1,-4,89,7,3,1
2010-12-21,4,1,96,6,6,1
2010-12-22,6,1,94,5,8,0.6
2010-12-23,0,0,82,10,21,1
2011-1-4,0,3,87,9,6,0.6
2011-1-5,0,6,81,9,19,0.6
2011-1-7,1,6,94,5,8,1
2011-1-9,0,4,74,,16,1
2011-1-10,0,4,82,10,14,0.6
2011-1-11,0,6,84,10,19,0.6
2011-1-13,1,12,91,9,23,0.6
2011-1-16,1,11,77,10,27,1
2011-1-17,24,8,92,8,10,0.6
2011-1-19,4,3,88,9,8,1
2011-1-20,0,3,90,9,11,0.6
2011-1-21,0,2,88,8,6,1
2011-1-24,100,4,86,10,10,0.6
2011-1-25,4,6,91,9,10,0.6
2011-1-27,1,2,71,10,21,1
2011-1-28,13,1,74,10,18,1
2011-1-31,0,2,81,10,2,1
2011-2-1,1,3,89,8,11,0.6
2011-2-2,0,6,86,8,14,0.2
2011-2-3,1,8,70,10,19,1
2011-2-4,0,11,69,10,39,1
2011-2-7,6,9,69,10,27,1
2011-2-8,12,4,74,9,5,0.2
2011-2-9,0,4,80,8,6,1
2011-2-10,0,9,84,6,11,0.6
2011-2-11,0,10,83,9,11,0.6
2011-2-14,0,8,60,10,14,0.6
2011-2-15,0,6,85,10,18,0.6
2011-2-16,6,7,87,10,10,1
2011-2-18,2,4,87,4,10,1
2011-2-21,7,6,84,5,10,1
2011-2-22,1,4,83,5,3,1
2011-2-24,7,11,77,9,10,1
2011-2-27,24,7,78,10,18,0.6
2011-2-28,0,3,89,5,13,0.6
2011-3-1,0,4,84,8,18,1
2011-3-3,0,3,80,8,18,1
2011-3-4,12,3,79,9,14,1
2011-3-7,0,4,64,,10,1
2011-3-8,2,4,62,3,10,0.2
2011-3-9,3,8,61,10,23,1
2011-3-10,4,10,64,10,27,0.6
2011-3-13,0,10,90,8,10,0.6
2011-3-16,0,7,92,2,14,0.2
2011-3-18,0,6,82,9,6,0.6
2011-3-20,9,,,,,1
2011-3-22,101,12,64,9,5,1
2011-3-23,0,10,76,10,5,1
