date,quantity,temperature,humidity,visibility,wind_speed,condition
2010-12-1,0,0,89,7,26,0
2010-12-2,20,-2,94,3,14,0
2010-12-3,217,-4,92,5,11,0.2
2010-12-5,0,2,91,9,6,1
2010-12-6,6,-3,98,1,2,0.2
2010-12-7,10,-2,91,9,3,1
2010-12-8,8,0,90,8,14,1
2010-12-9,0,1,77,10,16,1
2010-12-10,8,4,85,10,13,1
2010-12-12,6,3,90,9,8,1
2010-12-13,6,2,91,9,3,0.2
2010-12-14,0,1,81,9,8,1
2010-12-15,4,2,90,7,11,0.6
2010-12-16,0,3,88,9,19,1
2010-12-17,0,-3,88,10,14,1
2010-12-19,25,-2,87,10,11,0
2010-12-20,0,-4,89,7,3,1
2010-12-21,4,1,96,6,6,1
2010-12-23,2,0,82,10,21,1
2011-1-5,0,6,81,9,19,0.6
2011-1-6,0,4,94,7,5,0.6
2011-1-7,0,6,94,5,8,1
2011-1-9,7,4,74,,16,1
2011-1-13,3,12,91,9,23,0.6
2011-1-14,1,10,89,10,26,0.6
2011-1-16,0,11,77,10,27,1
2011-1-18,2,4,87,9,8,0.6
2011-1-19,1,3,88,9,8,1
2011-1-21,2,2,88,8,6,1
2011-1-23,22,6,90,10,14,0.6
2011-1-28,0,1,74,10,18,1
2011-1-31,3,2,81,10,2,1
2011-2-1,0,3,89,8,11,0.6
2011-2-3,1,8,70,10,19,1
2011-2-7,0,9,69,10,27,1
2011-2-10,0,9,84,6,11,0.6
2011-2-14,1,8,60,10,14,0.6
2011-2-15,0,6,85,10,18,0.6
2011-2-17,1,7,86,2,10,0.2
2011-3-1,5,4,84,8,18,1
2011-3-2,0,4,79,5,18,1
2011-3-7,0,4,64,,10,1
2011-3-9,0,8,61,10,23,1
2011-3-13,2,10,90,8,10,0.6
2011-3-14,0,7,86,8,13,1
2011-3-15,30,7,97,0,13,0.2
2011-3-17,4,6,87,5,8,1
2011-3-20,1,,,,,1
2011-3-22,0,12,64,9,5,1
2011-3-25,0,10,75,8,5,1
2011-3-28,0,8,64,10,5,1
2011-3-31,0,14,74,10,27,1
2011-4-1,0,13,75,10,24,1
2011-4-4,6,9,62,10,19,1
2011-4-6,3,18,50,10,19,1
2011-4-8,3,13,57,,6,1
2011-4-12,0,9,51,10,21,1
2011-4-15,0,11,62,10,5,1
2011-4-18,5,11,71,4,6,1
2011-4-19,2,14,63,8,5,1
2011-4-20,0,14,68,7,3,1
2011-4-26,0,12,71,10,14,1
2011-4-27,0,11,58,10,16,1
2011-5-1,0,13,64,,21,1
2011-5-3,0,8,57,10,19,1
2011-5-4,1,7,65,10,8,1
2011-5-5,0,12,62,8,6,1
2011-5-6,2,14,54,,6,1
2011-5-9,1,16,59,10,11,1
2011-5-10,2,13,57,10,10,1
2011-5-11,0,12,68,10,6,1
2011-5-15,0,10,61,10,16,1
2011-5-16,2,16,62,10,18,0.6
2011-5-18,0,16,76,10,16,1
2011-5-20,3,14,56,10,10,1
2011-5-22,0,14,55,10,24,0.6
2011-5-24,0,13,48,10,19,1
2011-5-25,0,12,49,,8,1
2011-5-27,0,12,67,10,18,1
2011-5-31,1,12,64,10,13,0.6
2011-6-1,0,13,55,10,6,1
2011-6-2,0,14,66,10,8,1
2011-6-3,0,17,69,10,16,1
2011-6-5,2,14,77,10,18,0.6
2011-6-6,0,11,81,9,8,0.6
2011-6-7,0,16,61,10,14,1
2011-6-8,0,13,65,10,19,0.6
2011-6-9,1,13,67,10,13,0.6
2011-6-10,0,11,73,10,6,1
2011-6-13,0,18,69,10,19,1
2011-6-16,0,14,76,10,16,0.6
2011-6-17,0,13,82,9,14,0.6
2011-6-19,0,14,64,10,23,0.6
2011-6-20,0,13,80,10,6,0.6
2011-6-21,0,18,70,10,21,1
2011-6-26,1,19,78,9,6,1
2011-6-28,0,20,82,9,8,1
2011-6-29,0,16,57,10,13,1
2011-6-30,0,15,57,10,10,1
2011-7-1,0,,,10,8,1
2011-7-4,0,14,62,10,6,1
2011-7-5,5,17,66,9,6,0.6
2011-7-7,3,17,67,10,21,0.6
2011-7-8,0,17,72,10,19,0.6
2011-7-11,0,17,71,10,6,1
2011-7-12,2,17,75,9,14,0.6
2011-7-13,0,14,64,10,14,0.6
2011-7-15,2,16,54,10,8,1
2011-7-17,2,16,77,10,19,0.6
2011-7-18,0,17,76,10,26,0.6
2011-7-20,7,16,73,9,6,0.6
2011-7-21,1,16,83,9,5,0.6
2011-7-22,0,16,67,10,10,0.6
2011-7-24,9,16,59,10,14,1
2011-7-25,0,16,67,10,6,1
2011-7-26,4,16,74,10,6,0.6
2011-7-28,0,19,73,9,6,1
2011-7-31,0,17,60,10,10,1
2011-8-1,0,19,60,10,8,1
2011-8-3,0,23,53,8,6,1
2011-8-4,1,18,87,8,14,0.6
2011-8-10,0,18,56,,16,1
2011-8-11,0,18,78,10,24,1
2011-8-17,0,18,59,10,10,0.6
2011-8-18,0,14,78,10,14,0.6
2011-8-21,0,21,60,9,8,1
2011-8-22,0,18,64,10,8,1
2011-8-23,0,16,92,6,10,0.6
2011-8-25,0,18,68,10,13,1
2011-8-26,2,16,84,10,8,1
2011-9-1,0,14,67,10,13,1
2011-9-2,0,20,68,7,8,1
2011-9-7,0,14,63,10,27,0.6
2011-9-11,1,18,64,10,24,1
2011-9-13,1,17,59,10,26,1
2011-9-15,1,13,66,10,5,1
2011-9-16,0,18,70,10,13,1
2011-9-18,2,13,73,10,8,0.6
2011-9-19,0,14,64,10,18,1
2011-9-21,0,16,74,9,11,0.6
2011-9-22,1,16,60,10,14,1
2011-9-25,2,17,68,10,16,0.2
2011-9-26,2,20,73,10,14,1
2011-9-27,0,17,80,7,5,0.2
2011-9-28,25,17,79,6,5,0.2
2011-10-2,0,19,51,10,6,0.2
2011-10-3,0,21,51,8,16,1
2011-10-4,0,17,69,10,18,1
2011-10-6,1,13,53,10,27,1
2011-10-9,1,18,78,10,21,0.6
2011-10-10,0,18,66,10,34,1
2011-10-13,0,14,78,9,11,1
2011-10-16,0,9,74,9,3,0.2
2011-10-17,0,12,68,10,18,1
2011-10-19,4,9,62,10,16,0.6
2011-10-20,1,7,65,10,8,1
2011-10-21,0,10,67,10,10,1
2011-10-24,0,12,74,10,16,1
2011-10-25,2,13,73,10,8,0.6
2011-10-27,0,12,80,10,8,0.6
2011-10-30,0,16,82,10,18,1
2011-10-31,2,13,80,10,13,1
2011-11-2,3,13,79,10,13,1
2011-11-3,0,17,82,10,14,0.6
2011-11-4,0,14,81,10,13,0.6
2011-11-6,0,10,79,10,18,1
2011-11-7,0,12,84,5,18,1
2011-11-8,4,10,85,5,5,1
2011-11-9,1,13,83,10,5,1
2011-11-10,0,11,92,5,6,0.2
2011-11-11,0,9,91,5,10,0.2
2011-11-13,0,11,88,5,8,0.2
2011-11-14,0,9,89,2,8,1
