date,quantity,temperature,humidity,visibility,wind_speed,condition
2011-3-9,0,8,61,10,23,1
2011-3-10,6,10,64,10,27,0.6
2011-3-11,0,9,63,10,14,1
2011-3-13,0,10,90,8,10,0.6
2011-3-14,0,7,86,8,13,1
2011-3-17,0,6,87,5,8,1
2011-3-21,1,12,70,10,5,1
2011-3-22,0,12,64,9,5,1
2011-3-23,0,10,76,10,5,1
2011-3-25,1,10,75,8,5,1
2011-3-28,0,8,64,10,5,1
2011-3-30,0,10,83,8,13,0.6
2011-4-3,0,11,65,10,11,1
2011-4-5,0,10,84,10,24,0.6
2011-4-6,0,18,50,10,19,1
2011-4-7,0,16,63,10,13,1
2011-4-10,0,10,64,8,10,1
2011-4-11,0,13,62,10,10,0.6
2011-4-12,0,9,51,10,21,1
2011-4-13,0,7,61,10,8,0.6
2011-4-14,7,10,66,10,8,1
2011-4-15,1,11,62,10,5,1
2011-4-21,0,13,71,6,5,1
2011-4-27,0,11,58,10,16,1
2011-5-3,0,8,57,10,19,1
2011-5-4,0,7,65,10,8,1
2011-5-6,0,14,54,,6,1
2011-5-8,3,17,65,10,11,0.6
2011-5-12,0,13,57,10,14,1
2011-5-13,0,13,58,10,11,1
2011-5-15,0,10,61,10,16,1
2011-5-19,0,12,64,10,6,1
2011-5-23,0,15,61,10,23,0.6
2011-5-25,0,12,49,,8,1
2011-5-31,0,12,64,10,13,0.6
2011-6-2,0,14,66,10,8,1
2011-6-3,0,17,69,10,16,1
2011-6-5,0,14,77,10,18,0.6
2011-6-12,0,11,77,9,14,0.6
2011-6-16,1,14,76,10,16,0.6
2011-6-20,0,13,80,10,6,0.6
2011-6-21,0,18,70,10,21,1
2011-6-27,0,24,61,5,8,1
2011-6-28,0,20,82,9,8,1
2011-7-4,0,14,62,10,6,1
2011-7-6,0,17,67,10,21,0.6
2011-7-10,0,17,68,10,10,1
2011-7-12,0,17,75,9,14,0.6
2011-7-13,1,14,64,10,14,0.6
2011-7-15,0,16,54,10,8,1
2011-7-18,0,17,76,10,26,0.6
2011-7-20,0,16,73,9,6,0.6
2011-7-24,0,16,59,10,14,1
2011-7-28,0,19,73,9,6,1
2011-7-29,0,14,79,8,5,0.2
2011-8-2,0,21,55,10,5,1
2011-8-16,0,18,67,10,18,1
2011-8-17,0,18,59,10,10,0.6
2011-8-31,0,14,68,10,3,1
2011-9-2,0,20,68,7,8,1
2011-9-15,0,13,66,10,5,1
2011-9-16,1,18,70,10,13,1
2011-9-19,0,14,64,10,18,1
2011-9-20,0,18,75,10,23,1
2011-9-21,0,16,74,9,11,0.6
2011-9-22,0,16,60,10,14,1
2011-9-23,0,14,67,10,10,1
2011-9-26,0,20,73,10,14,1
2011-9-28,0,17,79,6,5,0.2
2011-9-30,0,18,62,7,5,0.2
2011-10-3,0,21,51,8,16,1
2011-10-4,1,17,69,10,18,1
2011-10-5,1,19,68,10,27,1
2011-10-6,0,13,53,10,27,1
2011-10-7,0,12,70,10,19,0.6
2011-10-9,0,18,78,10,21,0.6
2011-10-12,0,17,70,10,16,1
2011-10-14,0,11,59,10,10,1
2011-10-23,0,14,69,10,18,1
2011-10-24,0,12,74,10,16,1
2011-10-31,1,13,80,10,13,1
2011-11-1,0,12,77,10,11,0.6
2011-11-2,1,13,79,10,13,1
2011-11-3,1,17,82,10,14,0.6
2011-11-8,0,10,85,5,5,1
2011-11-9,7,13,83,10,5,1
2011-11-14,1,9,89,2,8,1
2011-11-15,0,8,82,6,8,0.2
2011-11-16,0,6,92,5,5,0.2
2011-11-17,0,12,86,8,8,1
2011-11-21,8,6,97,3,3,0.2
2011-11-22,0,11,98,3,2,1
2011-11-23,1,7,89,7,8,0.2
2011-11-24,5,11,87,10,14,1
2011-11-25,0,11,72,10,23,1
2011-11-28,1,4,83,10,8,1
2011-11-30,0,9,78,10,16,1
2011-12-1,1,9,85,10,10,0.6
2011-12-2,1,6,87,10,11,1
2011-12-4,0,7,82,10,18,0.6
2011-12-5,0,4,77,10,24,1
2011-12-6,2,4,80,10,19,0.6
2011-12-8,1,10,85,10,31,0.6
2011-12-9,2,6,70,10,23,1
2011-12-9,0,6,70,10,23,1
