week,quantity,temperature,humidity,visibility,wind_speed,condition
51,1357,-1,86,7,11,0.17
0,82,-1,87,7,10,0.66
1,0,0,83,7,10,0.89
2,643,2,84,8,10,0.94
3,420,3,87,8,7,0.77
4,588,5,85,9,13,0.77
5,672,3,84,9,13,0.83
6,420,7,84,8,17,0.51
7,252,8,75,9,26,0.83
8,588,4,61,4,8,0.54
9,588,7,84,7,13,0.77
10,252,7,74,8,10,0.6
11,518,3,77,7,13,0.0
12,444,5,61,3,6,0.43
13,518,9,72,8,7,0.89
14,592,8,70,8,15,0.77
15,0,13,66,10,18,0.89
16,560,12,67,7,4,1.0
17,350,13,66,8,9,0.94
18,210,10,62,8,9,0.74
19,434,11,61,6,9,0.66
20,434,13,63,10,13,0.94
21,558,13,59,8,17,0.74
22,682,13,60,10,11,0.89
23,540,14,67,9,12,0.89
24,180,14,74,9,16,0.66
25,480,17,71,8,13,0.77
26,540,13,69,9,12,0.83
27,276,12,45,7,8,0.54
28,621,16,73,9,13,0.66
29,345,16,68,9,9,0.83
30,897,16,69,9,13,0.77
31,345,19,65,9,10,0.83
32,345,17,62,9,11,0.77
33,759,16,74,9,11,0.77
34,552,18,62,8,13,0.74
35,682,16,69,9,19,0.83
36,558,15,70,9,13,0.83
37,558,16,71,8,9,0.54
38,248,18,67,10,21,0.94
39,335,17,61,9,16,0.71
40,268,9,65,9,12,0.71
41,670,12,74,9,11,0.83
42,737,15,71,9,20,0.89
43,639,12,81,8,13,0.77
44,994,8,90,6,6,0.43
45,852,9,82,8,14,0.83
46,852,10,88,5,6,0.66
47,528,6,77,10,19,0.83
48,0,4,88,9,16,0.69
49,0,7,71,7,13,0.66
50,88,6,78,8,22,0.57
