week,quantity,temperature,humidity,visibility,wind_speed,condition
51,379,-1,86,7,11,0.17
0,74,-1,87,7,10,0.66
1,8,0,83,7,10,0.89
2,352,2,84,8,10,0.94
3,252,3,87,8,7,0.77
4,1092,5,85,9,13,0.77
5,672,3,84,9,13,0.83
6,504,7,84,8,17,0.51
7,756,8,75,9,26,0.83
8,756,4,61,4,8,0.54
9,840,7,84,7,13,0.77
10,420,7,74,8,10,0.6
11,370,3,77,7,13,0.0
12,592,5,61,3,6,0.43
13,518,9,72,8,7,0.89
14,518,8,70,8,15,0.77
15,490,13,66,10,18,0.89
16,1120,12,67,7,4,1.0
17,490,13,66,8,9,0.94
18,420,10,62,8,9,0.74
19,310,11,61,6,9,0.66
20,496,13,63,10,13,0.94
21,434,13,59,8,17,0.74
22,930,13,60,10,11,0.89
23,300,14,67,9,12,0.89
24,540,14,74,9,16,0.66
25,600,17,71,8,13,0.77
26,300,13,69,9,12,0.83
27,552,12,45,7,8,0.54
28,966,16,73,9,13,0.66
29,483,16,68,9,9,0.83
30,138,16,69,9,13,0.77
31,621,19,65,9,10,0.83
32,345,17,62,9,11,0.77
33,276,16,74,9,11,0.77
34,414,18,62,8,13,0.74
35,558,16,69,9,19,0.83
36,682,15,70,9,13,0.83
37,744,16,71,8,9,0.54
38,434,18,67,10,21,0.94
39,268,17,61,9,16,0.71
40,469,9,65,9,12,0.71
41,536,12,74,9,11,0.83
42,871,15,71,9,20,0.89
43,710,12,81,8,13,0.77
44,1278,8,90,6,6,0.43
45,1207,9,82,8,14,0.83
46,1420,10,88,5,6,0.66
47,1320,6,77,10,19,0.83
48,0,4,88,9,16,0.69
49,0,7,71,7,13,0.66
50,616,6,78,8,22,0.57
