week,quantity,temperature,humidity,visibility,wind_speed,condition
51,3522,-1,86,7,11,0.17
0,413,-1,87,7,10,0.66
1,9,0,83,7,10,0.89
2,1274,2,84,8,10,0.94
3,2184,3,87,8,7,0.77
4,2100,5,85,9,13,0.77
5,3360,3,84,9,13,0.83
6,2604,7,84,8,17,0.51
7,2436,8,75,9,26,0.83
8,2604,4,61,4,8,0.54
9,3108,7,84,7,13,0.77
10,2688,7,74,8,10,0.6
11,3700,3,77,7,13,0.0
12,3182,5,61,3,6,0.43
13,3626,9,72,8,7,0.89
14,2220,8,70,8,15,0.77
15,3640,13,66,10,18,0.89
16,3430,12,67,7,4,1.0
17,1330,13,66,8,9,0.94
18,3920,10,62,8,9,0.74
19,2356,11,61,6,9,0.66
20,2480,13,63,10,13,0.94
21,2294,13,59,8,17,0.74
22,3100,13,60,10,11,0.89
23,1740,14,67,9,12,0.89
24,1740,14,74,9,16,0.66
25,1680,17,71,8,13,0.77
26,1980,13,69,9,12,0.83
27,1932,12,45,7,8,0.54
28,2139,16,73,9,13,0.66
29,2001,16,68,9,9,0.83
30,1725,16,69,9,13,0.77
31,1863,19,65,9,10,0.83
32,2001,17,62,9,11,0.77
33,1863,16,74,9,11,0.77
34,1587,18,62,8,13,0.74
35,992,16,69,9,19,0.83
36,1922,15,70,9,13,0.83
37,1798,16,71,8,9,0.54
38,2666,18,67,10,21,0.94
39,2211,17,61,9,16,0.71
40,1608,9,65,9,12,0.71
41,1876,12,74,9,11,0.83
42,2613,15,71,9,20,0.89
43,2769,12,81,8,13,0.77
44,2769,8,90,6,6,0.43
45,3408,9,82,8,14,0.83
46,2911,10,88,5,6,0.66
47,3608,6,77,10,19,0.83
48,0,4,88,9,16,0.69
49,0,7,71,7,13,0.66
50,1320,6,78,8,22,0.57
