week,quantity,temperature,humidity,visibility,wind_speed,condition
51,695,-1,86,7,11,0.17
0,196,-1,87,7,10,0.66
1,0,0,83,7,10,0.89
2,185,2,84,8,10,0.94
3,588,3,87,8,7,0.77
4,1176,5,85,9,13,0.77
5,1092,3,84,9,13,0.83
6,1260,7,84,8,17,0.51
7,1008,8,75,9,26,0.83
8,1596,4,61,4,8,0.54
9,2604,7,84,7,13,0.77
10,1512,7,74,8,10,0.6
11,1554,3,77,7,13,0.0
12,1258,5,61,3,6,0.43
13,1850,9,72,8,7,0.89
14,1036,8,70,8,15,0.77
15,1680,13,66,10,18,0.89
16,2030,12,67,7,4,1.0
17,910,13,66,8,9,0.94
18,1470,10,62,8,9,0.74
19,992,11,61,6,9,0.66
20,2108,13,63,10,13,0.94
21,1612,13,59,8,17,0.74
22,1922,13,60,10,11,0.89
23,1680,14,67,9,12,0.89
24,1020,14,74,9,16,0.66
25,900,17,71,8,13,0.77
26,1260,13,69,9,12,0.83
27,828,12,45,7,8,0.54
28,1035,16,73,9,13,0.66
29,1104,16,68,9,9,0.83
30,1035,16,69,9,13,0.77
31,1242,19,65,9,10,0.83
32,1035,17,62,9,11,0.77
33,1035,16,74,9,11,0.77
34,966,18,62,8,13,0.74
35,1426,16,69,9,19,0.83
36,992,15,70,9,13,0.83
37,1116,16,71,8,9,0.54
38,1860,18,67,10,21,0.94
39,1407,17,61,9,16,0.71
40,1273,9,65,9,12,0.71
41,1139,12,74,9,11,0.83
42,1474,15,71,9,20,0.89
43,994,12,81,8,13,0.77
44,1562,8,90,6,6,0.43
45,1207,9,82,8,14,0.83
46,1846,10,88,5,6,0.66
47,1848,6,77,10,19,0.83
48,0,4,88,9,16,0.69
49,0,7,71,7,13,0.66
50,792,6,78,8,22,0.57
