BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-4-1,16,13,11,11,9,9,88,75,68,1019,1017,1015,10,10,10,34,24,,0.00,4,,207
2011-4-2,20,16,12,12,10,5,88,66,52,1011,1008,1007,10,10,10,29,18,,0.00,1,Rain,222
2011-4-3,15,11,8,7,6,5,81,65,51,1015,1013,1012,10,10,10,21,11,,0.00,1,,222
2011-4-4,13,9,6,5,3,1,87,62,47,1022,1021,1020,10,10,8,27,19,,0.00,1,,232
2011-4-5,12,10,9,10,8,6,88,84,82,1022,1020,1019,10,10,10,27,24,45,0.00,5,Rain,220
2011-4-6,22,18,14,12,8,3,88,50,35,1026,1025,1023,10,10,10,27,19,,0.00,1,,214
2011-4-7,21,16,11,12,10,5,77,63,53,1027,1027,1025,10,10,10,19,13,,0.00,1,,309
2011-4-8,19,13,7,8,6,4,82,57,40,1027,1026,1025,,,,11,6,,0.00,,,334
2011-4-9,14,10,6,8,7,5,93,74,67,1027,1026,1024,10,10,8,21,11,,0.00,1,,63
2011-4-10,14,10,6,7,5,3,93,64,48,1024,1024,1023,8,8,8,14,10,,0.00,,,58
2011-4-11,21,13,5,10,8,3,88,62,46,1022,1020,1018,10,10,8,32,10,58,0.00,2,Rain,265
2011-4-12,13,9,6,3,1,-3,76,51,33,1029,1029,1028,10,10,10,29,21,,0.00,2,,302
2011-4-13,12,7,3,5,2,0,81,61,44,1024,1021,1019,10,10,10,23,8,,0.00,2,Rain,222
2011-4-14,13,10,7,5,5,4,81,66,58,1019,1018,1017,10,10,10,14,8,,0.00,2,,216
2011-4-15,14,11,9,7,5,4,82,62,51,1021,1020,1019,10,10,9,13,5,,0.00,1,,153
2011-4-16,18,12,7,9,7,5,93,64,45,1023,1022,1021,10,10,10,16,6,,0.00,1,,190
2011-4-17,17,11,5,9,7,4,93,73,52,1025,1024,1023,10,8,3,14,3,,0.00,1,,71
2011-4-18,17,11,6,10,6,4,93,71,42,1024,1018,1012,8,4,2,21,6,,0.00,1,,62
2011-4-19,23,14,7,11,8,5,87,63,38,1014,1012,1011,9,8,7,111,5,,0.00,,,131
2011-4-20,22,14,7,14,9,5,94,68,43,1014,1014,1013,9,7,4,14,3,,0.00,,,72
2011-4-21,21,13,7,13,9,5,93,71,46,1014,1012,1010,9,6,3,14,5,,0.00,,,58
2011-4-22,23,14,6,12,9,5,93,69,41,1010,1008,1007,9,5,1,14,3,,0.00,,,69
2011-4-23,25,16,7,14,9,6,93,63,39,1014,1011,1009,10,7,3,13,2,,0.00,1,,88
2011-4-24,23,16,8,11,9,6,88,65,35,1021,1017,1013,9,7,5,14,5,,0.00,,,26
2011-4-25,20,14,8,11,8,4,87,66,49,1024,1022,1021,8,7,6,24,11,,0.00,,,339
2011-4-26,17,12,8,9,7,4,87,71,59,1025,1024,1023,10,10,9,23,14,,0.00,3,,358
2011-4-27,16,11,6,5,3,0,81,58,36,1025,1024,1022,10,10,10,29,16,37,0.00,1,,6
2011-4-28,16,11,6,9,6,3,87,73,59,1022,1017,1015,10,10,8,26,18,45,0.00,3,Rain,5
2011-4-29,18,13,8,12,9,6,94,78,59,1014,1011,1009,9,6,5,24,13,,0.00,3,,23
2011-4-30,16,13,11,9,7,6,82,68,55,1009,1008,1007,9,8,7,35,19,,0.00,,,45
