BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-8-1,25,19,13,14,12,9,77,60,44,1014,1013,1012,10,10,10,21,8,,0.00,1,,110
2011-8-2,27,21,16,15,13,12,88,55,42,1014,1013,1013,10,10,10,16,5,,0.00,1,,101
2011-8-3,29,23,17,16,14,12,88,53,37,1014,1013,1012,9,8,6,19,6,,0.00,,,185
2011-8-4,20,18,16,18,17,14,94,87,73,1012,1009,1006,10,8,3,23,14,37,0.00,5,Rain,198
2011-8-5,24,20,16,15,14,13,83,68,53,1012,1011,1009,10,10,10,16,10,,0.00,2,,211
2011-8-6,20,18,16,13,12,10,82,68,56,1004,1002,1000,10,10,10,23,11,,0.00,1,Rain,225
2011-8-7,20,17,14,13,11,9,82,66,49,1003,1002,1001,10,10,10,34,19,50,0.00,2,Rain,241
2011-8-8,21,17,14,11,9,7,77,56,40,1012,1007,1002,10,10,10,37,23,48,0.00,2,Rain,269
2011-8-9,21,16,12,9,7,5,77,51,37,1024,1022,1018,10,10,10,24,14,29,0.00,2,,297
2011-8-10,23,18,13,12,10,8,72,56,46,1024,1019,1015,,,,35,16,,0.00,,,225
2011-8-11,21,18,16,17,15,11,94,78,68,1011,1009,1007,10,10,10,32,24,,0.00,3,,222
2011-8-12,21,19,17,15,14,14,83,72,64,1010,1010,1009,10,10,10,14,8,,0.00,3,,230
2011-8-13,25,20,16,17,14,12,94,71,53,1005,1004,1004,10,10,9,24,14,,0.00,3,Rain,233
2011-8-14,23,19,16,12,10,9,77,53,43,1009,1006,1004,10,10,10,23,13,,0.00,2,,253
2011-8-15,22,18,14,11,9,6,68,52,38,1017,1016,1014,10,10,10,23,11,,0.00,2,Rain,249
2011-8-16,22,18,15,14,13,11,88,67,56,1016,1015,1014,10,10,10,27,18,40,0.00,3,,217
2011-8-17,20,18,15,17,9,6,100,59,43,1017,1016,1016,10,10,10,16,10,,0.00,2,Rain,55
2011-8-18,18,14,12,12,12,10,94,78,68,1015,1013,1011,10,10,8,24,14,34,0.00,5,Rain,23
2011-8-19,22,16,11,12,10,8,88,58,41,1019,1018,1017,10,10,10,21,11,,0.00,1,,243
2011-8-20,22,19,14,16,13,2,88,66,39,1019,1018,1015,10,10,10,24,11,,0.00,1,Rain,223
2011-8-21,26,21,16,16,14,10,94,60,47,1015,1012,1011,10,9,5,24,8,,0.00,1,,263
2011-8-22,22,18,14,13,11,9,82,64,43,1019,1018,1017,10,10,10,14,8,,0.00,1,,71
2011-8-23,17,16,15,16,15,13,94,92,88,1012,1011,1010,10,6,2,14,10,,0.00,6,Rain,336
2011-8-24,21,18,15,14,12,10,88,72,49,1013,1012,1012,10,9,6,23,8,,0.00,2,Rain,220
2011-8-25,21,18,15,14,12,9,88,68,49,1010,1009,1009,10,10,10,24,13,,0.00,1,,201
2011-8-26,18,16,13,15,13,11,94,84,72,1005,1003,1001,10,10,7,27,8,,0.00,3,Rain-Thunderstorm,207
2011-8-27,19,16,12,12,9,7,88,70,52,1014,1012,1010,10,10,8,32,14,47,0.00,2,Rain,260
2011-8-28,19,16,13,11,10,9,82,71,52,1015,1014,1014,10,10,10,26,16,,0.00,2,Rain,250
2011-8-29,17,13,11,8,7,5,82,60,48,1017,1016,1016,10,10,10,23,18,,0.00,1,,280
2011-8-30,17,14,12,10,9,5,82,66,58,1017,1016,1015,10,10,10,13,10,,0.00,5,,283
2011-8-31,17,14,13,11,9,8,88,68,55,1016,1015,1014,10,10,10,10,3,,0.00,4,,22
