GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-12-1,1,0,-1,0,-2,-3,100,89,80,1009,1006,1004,10,7,1,32,26,47,0.00,6,Snow,38
2010-12-2,-1,-2,-2,-1,-2,-4,100,94,86,1010,1007,1005,10,3,1,23,14,,0.00,6,Snow,42
2010-12-3,2,-4,-8,-3,-4,-8,100,92,70,1012,1011,1008,10,5,0,19,11,,0.00,5,Fog,268
2010-12-4,5,3,2,4,3,-4,93,90,65,1008,1004,1002,10,9,7,27,13,,0.00,4,Rain-Snow,199
2010-12-5,4,2,-1,3,0,-2,93,91,87,1004,1003,1002,10,9,5,13,6,,0.00,5,,289
2010-12-6,-1,-3,-4,-1,-2,-4,100,98,93,1003,1002,1001,5,1,0,8,2,,0.00,7,Fog,249
2010-12-7,1,-2,-4,-1,-2,-4,100,91,81,1006,1005,1003,10,9,5,13,3,,0.00,3,,346
2010-12-8,2,0,-1,0,-1,-4,100,90,80,1022,1012,1006,10,8,5,24,14,,0.00,3,,329
2010-12-9,4,1,-2,0,-2,-5,93,77,65,1030,1028,1023,10,10,10,19,16,,0.00,1,,271
2010-12-10,7,4,2,4,3,0,93,85,81,1032,1030,1027,10,10,10,19,13,,0.00,6,,252
2010-12-11,8,7,4,5,4,2,87,83,76,1027,1024,1022,10,10,10,16,11,,0.00,4,,277
2010-12-12,6,3,0,3,2,-1,100,90,81,1026,1024,1022,10,9,5,16,8,,0.00,3,,315
2010-12-13,4,2,0,2,1,-1,100,91,81,1028,1027,1025,10,9,7,16,3,,0.00,4,Fog,308
2010-12-14,4,1,-1,3,-1,-4,100,81,61,1036,1032,1027,10,9,5,14,8,,0.00,2,,355
2010-12-15,5,2,-1,3,1,-3,100,90,80,1036,1033,1026,10,7,1,19,11,,0.00,5,Rain,310
2010-12-16,7,3,-1,5,2,-4,93,88,80,1024,1006,1000,10,9,4,29,19,39,0.00,5,Rain-Snow,281
2010-12-17,-1,-3,-4,-1,-4,-6,100,88,80,1001,997,995,10,10,10,21,14,,0.00,1,,272
2010-12-18,2,-3,-7,1,-3,-7,100,94,86,995,992,990,10,8,0,23,6,,0.00,4,Fog-Snow,123
2010-12-19,1,-2,-4,-1,-2,-6,100,87,80,999,993,991,10,10,7,23,11,,0.00,3,Snow,5
2010-12-20,1,-4,-10,0,-4,-10,100,89,75,1003,1002,999,10,7,2,11,3,,0.00,2,Fog-Snow,105
2010-12-21,2,1,1,1,1,0,100,96,93,1004,1002,1000,10,6,2,11,6,,0.00,6,Rain-Snow,22
2010-12-22,2,1,0,1,1,-2,100,94,87,1007,1005,1003,10,5,2,27,8,,0.00,5,Rain,354
2010-12-23,2,0,-1,0,-1,-4,87,82,75,1012,1008,1007,10,10,10,32,21,48,0.00,5,,3
2010-12-24,2,1,0,-1,-2,-3,93,82,75,1020,1016,1012,10,10,9,26,19,,0.00,1,,340
2010-12-25,,,,,,,,,,,,,,,,,,,0.00,,,-1
2010-12-26,2,-1,-3,0,-2,-4,100,85,75,1029,1026,1023,10,10,10,8,5,,0.00,1,,249
2010-12-27,3,2,2,1,-1,-2,87,79,70,1022,1017,1013,10,10,10,26,11,,0.00,1,,175
2010-12-28,6,3,2,5,3,-1,100,93,75,1018,1014,1012,10,4,0,14,8,,0.00,6,Fog-Rain,154
2010-12-29,7,6,5,7,5,4,100,97,93,1023,1020,1017,3,1,0,3,0,,0.00,7,Fog,60
2010-12-30,6,4,4,5,4,3,100,97,87,1026,1024,1022,2,0,0,6,2,,0.00,7,Fog-Rain,62
2010-12-31,6,4,4,5,4,4,100,96,93,1027,1026,1026,6,4,2,3,0,,0.00,6,,304
