GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-2-1,7,3,-1,6,2,-3,100,89,81,1027,1025,1024,10,8,2,16,11,,0.00,5,Rain,234
2011-2-2,10,6,2,7,4,2,100,86,71,1027,1023,1020,10,8,0,37,14,,0.00,6,Fog,214
2011-2-3,10,8,5,5,3,1,81,70,54,1026,1022,1016,10,10,10,39,19,53,0.00,1,,227
2011-2-4,12,11,10,6,6,4,71,69,66,1015,1015,1014,10,10,10,53,39,60,0.00,5,,228
2011-2-5,13,12,11,8,7,6,82,71,67,1018,1016,1014,10,10,10,47,39,,0.00,6,,224
2011-2-6,12,10,9,7,6,4,76,71,66,1020,1019,1019,10,10,10,42,34,,0.00,5,,221
2011-2-7,12,9,6,7,4,1,82,69,58,1019,1014,1009,10,10,10,45,27,61,0.00,5,,224
2011-2-8,9,4,1,3,1,-2,87,74,58,1024,1022,1019,10,9,6,10,5,,0.00,1,Fog,163
2011-2-9,8,4,2,5,4,-1,87,80,76,1021,1017,1015,10,8,5,21,6,,0.00,4,,174
2011-2-10,10,9,8,8,7,5,93,84,76,1016,1012,1010,10,6,2,16,11,,0.00,5,Rain,203
2011-2-11,12,10,8,10,7,5,94,83,76,1012,1011,1009,10,9,6,16,11,,0.00,5,Rain,214
2011-2-12,11,8,5,8,5,0,87,74,54,1011,1010,1009,10,8,4,23,11,,0.00,3,Rain,228
2011-2-13,8,7,5,2,2,0,71,67,62,1009,1003,999,10,10,7,29,18,,0.00,5,Rain,166
2011-2-14,10,8,5,3,0,-3,76,60,43,1003,1002,999,10,10,8,24,14,,0.00,1,Rain,204
2011-2-15,7,6,6,5,4,3,87,85,81,994,991,989,10,10,9,24,18,,0.00,5,Rain,149
2011-2-16,9,7,5,7,5,3,87,87,81,997,995,994,10,10,10,16,10,,0.00,2,,140
2011-2-17,9,7,5,6,4,2,100,86,66,1009,1005,1002,6,2,0,14,10,,0.00,6,Fog,42
2011-2-18,6,4,4,5,3,1,100,87,81,1015,1014,1013,6,4,1,16,10,,0.00,6,,94
2011-2-19,,,,,,,,,,1010,1009,1008,2,2,1,16,11,,0.00,7,Rain,93
2011-2-20,,,,,,,,,,1016,1015,1014,4,3,2,14,10,,0.00,8,,33
2011-2-21,6,6,5,4,3,3,93,84,81,1014,1013,1011,8,5,2,14,10,,0.00,6,,95
2011-2-22,6,4,4,4,3,1,93,83,70,1019,1017,1015,7,5,3,10,3,,0.00,6,,113
2011-2-23,10,8,7,9,7,5,100,95,87,1018,1016,1014,10,5,2,19,13,,0.00,6,Rain,184
2011-2-24,14,11,9,9,8,7,93,77,63,1024,1022,1020,10,9,8,14,10,,0.00,1,,242
2011-2-25,15,11,8,10,9,8,100,82,67,1025,1023,1021,10,9,5,29,13,,0.00,4,,210
2011-2-26,10,9,8,9,6,3,94,84,71,1014,1011,1009,10,10,5,40,21,,0.00,5,Rain,276
2011-2-27,9,7,4,5,3,2,93,78,62,1022,1019,1018,10,10,10,26,18,,0.00,2,Rain,307
2011-2-28,4,3,3,2,2,1,93,89,81,1032,1029,1027,7,5,4,19,13,,0.00,6,Rain,5
