GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-1-1,7,4,3,6,4,1,100,91,87,1026,1024,1023,10,7,5,16,6,,0.00,5,Rain,329
2011-1-2,3,1,0,1,1,-1,93,89,81,1028,1027,1026,10,10,10,14,8,,0.00,3,,310
2011-1-3,4,2,1,0,-1,-2,87,78,70,1027,1024,1019,10,10,10,8,3,,0.00,2,,226
2011-1-4,5,3,2,3,2,-1,93,87,81,1019,1013,1008,10,9,6,16,6,,0.00,5,Rain,199
2011-1-5,7,6,4,6,2,0,93,81,66,1008,1000,994,10,9,6,34,19,,0.00,4,Rain,188
2011-1-6,7,4,2,6,3,1,100,94,93,1002,995,992,10,7,3,14,5,,0.00,4,Rain,319
2011-1-7,11,6,1,9,6,0,100,94,82,1003,999,996,10,5,1,26,8,,0.00,5,Fog-Rain,149
2011-1-8,11,7,3,9,5,0,94,81,70,1004,997,988,10,10,6,39,24,,0.00,5,Rain,228
2011-1-9,7,4,2,1,0,-1,87,74,57,1018,1012,1004,,,,24,16,,0.00,,,236
2011-1-10,8,4,1,4,3,-1,93,82,70,1018,1012,1003,10,10,10,27,14,45,0.00,2,Rain,173
2011-1-11,8,6,4,7,3,1,100,84,71,1016,1005,996,10,10,8,37,19,,0.00,5,Rain,269
2011-1-12,12,8,4,11,8,1,100,92,81,1016,1010,1008,10,9,7,35,16,,0.00,6,Rain,218
2011-1-13,13,12,11,11,11,10,100,91,88,1010,1009,1008,10,9,4,29,23,,0.00,6,Rain,225
2011-1-14,12,10,8,10,9,6,94,89,82,1014,1009,1007,10,10,10,40,26,45,0.00,3,Rain,223
2011-1-15,11,9,8,7,7,5,93,79,67,1016,1015,1014,10,10,10,40,24,53,0.00,6,Rain,213
2011-1-16,13,11,10,9,8,5,88,77,67,1018,1017,1016,10,10,10,40,27,,0.00,4,,208
2011-1-17,11,8,6,9,7,5,100,92,87,1021,1018,1015,10,8,2,23,10,,0.00,5,Rain,213
2011-1-18,7,4,3,5,3,1,100,87,76,1032,1027,1021,10,9,5,16,8,,0.00,2,Rain,307
2011-1-19,6,3,1,4,2,0,93,88,81,1034,1033,1033,10,9,6,19,8,,0.00,2,,303
2011-1-20,6,3,2,3,3,1,100,90,76,1037,1035,1033,10,9,4,19,11,,0.00,4,Rain,344
2011-1-21,4,2,0,3,1,-1,100,88,75,1039,1038,1037,10,8,0,13,6,,0.00,4,Fog-Rain,328
2011-1-22,6,3,0,5,3,0,100,91,81,1038,1035,1034,10,8,0,21,13,,0.00,5,Fog-Rain,341
2011-1-23,7,6,6,6,5,4,93,90,81,1034,1033,1032,10,10,8,21,14,,0.00,5,Rain,344
2011-1-24,7,4,3,5,3,2,93,86,71,1032,1029,1023,10,10,10,16,10,,0.00,3,Rain,306
2011-1-25,8,6,4,7,6,3,100,91,81,1022,1015,1009,10,9,5,19,10,,0.00,5,Rain,264
2011-1-26,7,4,2,6,4,0,100,90,75,1016,1010,1007,10,9,1,27,10,,0.00,5,Fog-Rain,13
2011-1-27,3,2,1,0,-3,-5,87,71,60,1024,1021,1016,10,10,10,127,21,,0.00,6,,39
2011-1-28,2,1,0,0,-3,-5,93,74,60,1024,1023,1021,10,10,10,24,18,,0.00,6,,49
2011-1-29,2,1,0,-1,-2,-2,87,80,75,1023,1022,1021,10,10,9,21,13,,0.00,6,,22
2011-1-30,4,1,-1,1,-1,-2,93,80,70,1024,1022,1021,10,10,10,16,11,,0.00,5,,42
2011-1-31,4,2,0,-1,-1,-2,93,81,70,1026,1025,1024,10,10,10,10,2,,0.00,5,,323
