BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-7-1,,,,,,,,,,1026,1025,1023,10,10,10,16,8,,0.00,1,,327
2011-7-2,,,,,,,,,,1023,1020,1018,10,10,10,14,6,,0.00,1,,103
2011-7-3,23,19,15,15,11,8,77,57,44,1018,1017,1016,10,10,10,14,6,,0.00,1,,120
2011-7-4,21,14,9,11,10,0,94,62,26,1017,1017,1016,10,10,10,14,6,,0.00,1,,99
2011-7-5,25,17,9,15,12,8,94,66,36,1016,1011,1007,10,9,7,34,6,,0.00,2,Rain,158
2011-7-6,20,17,14,13,10,7,88,67,49,1006,1005,1004,10,10,7,37,21,53,0.00,1,Rain,210
2011-7-7,19,17,14,12,11,10,82,67,56,1005,1003,1003,10,10,10,32,21,47,0.00,3,Rain,190
2011-7-8,20,17,14,14,11,9,88,72,56,1007,1005,1003,10,10,6,34,19,50,0.00,3,Rain,201
2011-7-9,21,17,13,13,12,9,94,69,52,1016,1011,1007,10,10,8,35,18,39,0.00,2,Rain,217
2011-7-10,22,17,13,14,12,10,88,68,49,1018,1017,1016,10,10,10,14,10,,0.00,1,,210
2011-7-11,23,17,11,15,13,10,94,71,53,1019,1019,1018,10,10,9,13,6,,0.00,1,,38
2011-7-12,19,17,14,13,12,11,94,75,60,1019,1016,1015,10,9,5,27,14,,0.00,1,Rain,13
2011-7-13,17,14,12,10,8,6,88,64,48,1018,1017,1016,10,10,10,27,14,,0.00,1,Rain,339
2011-7-14,20,16,12,11,8,7,82,64,46,1018,1017,1016,10,10,10,24,14,,0.00,1,,293
2011-7-15,24,16,8,11,9,6,87,54,36,1017,1015,1012,10,10,10,27,8,,0.00,1,,219
2011-7-16,19,17,14,15,13,10,94,81,68,1012,999,994,10,9,6,29,21,48,0.00,4,Rain,203
2011-7-17,19,16,13,14,12,10,88,77,64,995,993,991,10,10,8,29,19,40,0.00,2,Rain,219
2011-7-18,19,17,14,13,12,10,88,76,64,999,996,994,10,10,10,37,26,,0.00,3,Rain,228
2011-7-19,21,16,11,13,11,9,94,70,46,1006,1003,999,10,10,10,21,11,,0.00,1,Rain,246
2011-7-20,19,16,12,13,11,9,88,73,52,1009,1008,1007,10,9,8,16,6,,0.00,2,Rain,232
2011-7-21,19,16,13,13,12,11,94,83,64,1014,1012,1009,10,9,6,13,5,,0.00,3,Rain,8
2011-7-22,20,16,11,11,9,7,88,67,43,1016,1015,1014,10,10,6,24,10,,0.00,1,Rain,349
2011-7-23,17,13,10,10,7,4,94,65,45,1014,1012,1010,10,10,9,21,10,,0.00,3,Rain,305
2011-7-24,22,16,10,12,8,4,88,59,38,1010,1009,1007,10,10,10,24,14,,0.00,3,,298
2011-7-25,21,16,10,13,10,9,94,67,49,1011,1008,1007,10,10,10,16,6,,0.00,1,,328
2011-7-26,18,16,14,12,11,10,88,74,59,1018,1014,1011,10,10,10,16,6,32,0.00,4,Rain,341
2011-7-27,20,17,14,13,12,11,88,74,64,1021,1019,1018,10,10,10,23,11,,0.00,5,,333
2011-7-28,24,19,13,15,13,11,94,73,50,1022,1021,1020,10,9,5,13,6,,0.00,4,,353
2011-7-29,18,14,11,13,11,8,100,79,67,1023,1022,1022,10,8,0,14,5,,0.00,5,Fog,17
2011-7-30,20,14,8,11,8,6,87,65,52,1023,1021,1019,10,10,10,11,6,,0.00,3,,20
2011-7-31,23,17,12,13,11,7,82,60,43,1019,1016,1014,10,10,10,16,10,,0.00,1,,172
