BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-3-1,5,4,3,3,2,1,87,84,76,1038,1037,1036,10,8,5,23,18,,0.00,6,,11
2011-3-2,7,4,1,2,1,0,93,79,70,1036,1035,1034,7,5,4,24,18,,0.00,4,,24
2011-3-3,6,3,2,1,1,-1,93,80,66,1035,1034,1033,10,8,5,24,18,,0.00,4,,18
2011-3-4,6,3,1,2,1,0,93,79,70,1033,1032,1031,10,9,6,19,14,,0.00,5,,32
2011-3-5,7,4,2,5,2,-1,93,83,71,1030,1030,1029,10,9,4,16,10,,0.00,5,,10
2011-3-6,5,4,4,0,-1,-1,75,70,65,1032,1032,1031,10,10,10,23,18,,0.00,6,,51
2011-3-7,7,4,2,1,-1,-3,93,64,49,1031,1029,1027,,,,16,10,,0.00,,,78
2011-3-8,12,4,-3,2,0,-5,100,62,47,1022,1019,1016,6,3,0,26,10,,0.00,3,Fog,219
2011-3-9,11,8,6,4,2,0,87,61,47,1016,1015,1014,10,10,10,27,23,,0.00,1,,249
2011-3-10,13,10,8,6,4,3,81,64,54,1011,1010,1009,10,10,9,40,27,,0.00,4,Rain,241
2011-3-11,12,9,6,4,2,1,81,63,54,1016,1015,1013,10,10,10,24,14,,0.00,3,,225
2011-3-12,12,10,9,6,5,4,76,70,58,1005,1001,999,10,10,10,21,13,,0.00,4,,142
2011-3-13,12,10,9,9,8,8,94,90,77,1004,1001,999,10,8,5,14,10,,0.00,5,Rain,199
2011-3-14,9,7,4,6,5,3,93,86,71,1017,1016,1015,10,8,3,21,13,,0.00,5,,52
2011-3-15,8,7,7,8,7,7,100,97,93,1015,1014,1013,2,0,0,19,13,,0.00,7,Fog,54
2011-3-16,8,7,5,7,6,4,100,92,87,1013,1012,1010,4,2,1,21,14,,0.00,7,Fog,26
2011-3-17,8,6,4,5,4,3,100,87,81,1017,1015,1013,7,5,2,14,8,,0.00,5,,304
2011-3-18,7,6,6,5,4,3,93,82,76,1022,1021,1020,10,9,6,10,6,,0.00,6,Rain,353
2011-3-19,,,,,,,,,,,,,,,,,,,0.00,,,-1
2011-3-20,,,,,,,,,,,,,,,,,,,0.00,,,-1
2011-3-21,14,12,11,8,7,6,72,70,67,1035,1034,1033,10,10,10,11,5,,0.00,4,,193
2011-3-22,16,12,7,7,6,5,87,64,51,1039,1038,1037,10,9,6,10,5,,0.00,4,,53
2011-3-23,14,10,6,8,7,4,87,76,63,1041,1038,1010,10,10,8,11,5,,0.00,1,,73
2011-3-24,14,9,5,7,5,2,100,70,54,1036,1033,1030,9,9,9,16,8,,0.00,,,67
2011-3-25,14,10,6,9,7,5,93,75,67,1022,1019,1016,9,8,7,11,5,,0.00,1,,72
2011-3-26,10,7,4,7,5,3,93,81,76,1015,1015,1014,10,7,0,23,11,,0.00,2,Fog,73
2011-3-27,11,8,6,6,4,3,87,78,66,1014,1013,1012,9,7,5,121,14,,0.00,2,,61
2011-3-28,11,8,5,3,2,0,81,64,50,1017,1016,1015,10,10,9,13,5,,0.00,4,,91
2011-3-29,13,6,-1,6,4,-2,93,67,54,1014,1012,1011,9,7,6,14,5,,0.00,1,Fog,101
2011-3-30,12,10,8,8,7,6,93,83,72,1011,1010,1009,10,8,4,24,13,,0.00,5,Rain,208
2011-3-31,18,14,10,11,10,8,94,74,55,1015,1011,1007,10,10,9,40,27,66,0.00,3,,233
