BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-5-1,15,13,11,7,6,5,76,64,51,1011,1010,1008,,,,32,21,50,0.00,,,51
2011-5-2,13,10,8,6,3,0,76,60,41,1013,1012,1011,10,10,10,35,24,53,0.00,1,,51
2011-5-3,12,8,3,4,1,-1,81,57,44,1020,1017,1013,10,10,10,26,19,42,0.00,1,,56
2011-5-4,13,7,1,5,3,-1,93,65,47,1022,1021,1020,10,10,10,21,8,,0.00,1,,83
2011-5-5,18,12,7,8,6,4,82,62,45,1021,1019,1018,9,8,8,13,6,,0.00,,,116
2011-5-6,23,14,5,9,7,3,93,54,36,1018,1015,1014,,,,19,6,,0.00,,,145
2011-5-7,22,17,12,14,12,8,94,71,53,1013,1011,1009,10,10,10,19,6,,0.00,1,Rain,111
2011-5-8,21,17,14,14,11,0,88,65,26,1018,1014,1009,10,10,10,29,11,,0.00,1,Rain,198
2011-5-9,21,16,11,10,8,6,88,59,40,1023,1021,1018,10,10,10,24,11,,0.00,1,,202
2011-5-10,21,13,7,10,7,5,87,57,38,1025,1024,1023,10,10,10,23,10,,0.00,1,,219
2011-5-11,17,12,8,9,8,6,93,68,52,1024,1022,1020,10,10,10,14,6,,0.00,1,,248
2011-5-12,19,13,8,7,5,3,82,57,35,1020,1019,1018,10,10,10,27,14,34,0.00,1,,266
2011-5-13,19,13,8,7,6,4,81,58,40,1021,1019,1016,10,10,10,21,11,,0.00,1,,220
2011-5-14,16,11,7,6,4,3,81,57,42,1021,1018,1016,10,10,10,164,19,,0.00,1,Rain,284
2011-5-15,14,10,7,7,4,3,81,61,48,1025,1024,1021,10,10,10,23,16,,0.00,2,,276
2011-5-16,20,16,11,10,8,6,88,62,46,1023,1021,1019,10,10,10,29,18,,0.00,2,Rain,251
2011-5-17,19,14,11,11,9,6,82,66,52,1020,1019,1017,10,10,10,24,16,,0.00,4,,241
2011-5-18,19,16,13,13,11,10,94,76,64,1017,1014,1012,10,10,10,27,16,,0.00,5,,223
2011-5-19,17,12,8,8,7,5,81,64,52,1018,1017,1015,10,10,10,13,6,,0.00,2,,75
2011-5-20,19,14,10,7,6,4,76,56,40,1020,1018,1016,10,10,10,19,10,27,0.00,1,,265
2011-5-21,20,15,10,10,8,5,82,58,43,1021,1019,1014,10,10,10,171,13,,0.00,1,,196
2011-5-22,19,14,11,11,6,2,88,55,32,1022,1015,1011,10,10,8,42,24,60,0.00,2,Rain,237
2011-5-23,20,15,10,10,7,4,82,61,40,1022,1019,1017,10,10,8,39,23,60,0.00,2,Rain,220
2011-5-24,19,13,8,5,2,0,76,48,28,1027,1024,1019,10,10,10,34,19,40,0.00,1,,261
2011-5-25,20,12,4,7,3,-2,87,49,24,1027,1022,1011,,,,24,8,,0.00,,,172
2011-5-26,16,13,11,10,7,4,88,69,51,1011,1006,1004,10,10,5,42,21,60,0.00,3,Rain-Thunderstorm,239
2011-5-27,15,12,10,8,7,4,82,67,51,1018,1016,1011,10,10,10,24,18,,0.00,3,,274
2011-5-28,16,12,9,10,8,5,82,69,63,1017,1013,1011,10,10,10,29,19,42,0.00,3,,225
2011-5-29,21,17,13,12,11,9,88,69,56,1013,1011,1010,10,10,10,35,23,47,0.00,2,,219
2011-5-30,22,17,11,13,11,10,94,76,53,1013,1010,1007,10,9,5,23,13,,0.00,3,Rain,224
2011-5-31,17,12,8,10,6,3,94,64,42,1027,1019,1011,10,10,10,27,13,,0.00,1,Rain,292
