GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-11-1,15,12,10,12,9,7,88,77,67,1012,1009,1007,10,10,9,16,11,,0.00,2,Rain,222
2011-11-2,15,13,11,12,10,9,88,79,67,1009,1003,998,10,10,10,21,13,,0.00,1,,132
2011-11-3,18,17,14,13,13,12,88,82,73,994,993,991,10,10,9,26,14,35,0.00,2,Rain,160
2011-11-4,17,14,12,12,11,10,94,81,72,1001,997,993,10,10,8,24,13,,0.00,2,Rain,179
2011-11-5,14,12,11,12,11,10,94,90,82,1013,1007,1004,10,7,4,24,10,,0.00,3,Rain,335
2011-11-6,12,10,9,8,7,7,87,79,76,1023,1022,1019,10,10,7,24,18,,0.00,6,,344
2011-11-7,13,12,11,10,9,9,88,84,77,1021,1019,1016,8,5,4,26,18,,0.00,5,,30
2011-11-8,11,10,9,9,8,6,94,85,76,1015,1014,1013,10,5,4,10,5,,0.00,6,,123
2011-11-9,16,13,10,11,9,8,94,83,68,1017,1016,1015,10,10,6,16,5,,0.00,3,,156
2011-11-10,13,11,9,12,10,8,100,92,82,1018,1017,1016,9,5,0,16,6,,0.00,4,Fog,73
2011-11-11,11,9,8,9,8,7,94,91,82,1017,1016,1015,8,5,1,14,10,,0.00,6,Fog,130
2011-11-12,14,12,11,12,11,10,94,90,88,1029,1026,1023,6,4,2,13,6,,0.00,6,,107
2011-11-13,14,11,9,12,10,8,94,88,82,1029,1027,1026,7,5,1,16,8,,0.00,3,Fog,75
2011-11-14,10,9,9,8,8,7,93,89,87,1024,1022,1021,3,2,2,13,8,,0.00,7,,73
2011-11-15,11,8,6,7,5,3,93,82,71,1019,1017,1016,8,6,3,21,8,,0.00,5,Fog,75
2011-11-16,8,6,3,7,6,2,100,92,87,1018,1017,1017,6,5,0,11,5,,0.00,6,Fog,127
2011-11-17,15,12,9,12,9,6,94,86,77,1020,1019,1018,10,8,4,14,8,,0.00,2,,197
2011-11-18,14,12,10,11,10,8,100,87,77,1019,1018,1017,10,10,10,21,13,,0.00,2,,172
2011-11-19,13,7,2,10,7,2,100,93,77,1019,1017,1016,10,8,0,13,3,,0.00,2,Fog,115
2011-11-20,12,7,3,10,7,3,100,97,82,1020,1019,1018,9,5,0,6,2,,0.00,6,Fog,88
2011-11-21,10,6,2,10,8,2,100,97,94,1016,1015,1014,6,3,0,13,3,,0.00,6,Fog,93
2011-11-22,12,11,10,12,11,10,100,98,94,1022,1019,1016,7,3,0,11,2,,0.00,7,Fog-Rain,289
2011-11-23,11,7,3,8,7,3,100,89,76,1029,1027,1026,10,7,0,13,8,,0.00,1,Fog,221
2011-11-24,13,11,9,11,9,7,100,87,77,1029,1027,1023,10,10,10,24,14,,0.00,1,,201
2011-11-25,13,11,8,10,6,4,88,72,54,1029,1025,1021,10,10,9,34,23,47,0.00,2,,253
2011-11-26,13,10,7,9,8,6,93,79,67,1027,1024,1020,10,10,10,34,21,53,0.00,2,,226
2011-11-27,14,10,6,12,6,2,94,72,54,1028,1022,1014,10,10,10,37,23,48,0.00,3,Rain,265
2011-11-28,12,4,-2,11,5,-2,100,83,62,1026,1021,1016,10,10,10,21,8,,0.00,4,,184
2011-11-29,13,11,8,11,9,3,94,82,62,1014,1007,1004,10,10,7,40,29,60,0.00,5,Rain,202
2011-11-30,12,9,6,8,7,4,87,78,71,1023,1020,1015,10,10,10,24,16,,0.00,1,,198
