GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-10-1,28,18,9,16,14,8,100,65,39,1025,1024,1024,9,5,1,11,2,,0.00,,Fog,131
2011-10-2,29,19,10,14,11,8,94,51,30,1024,1023,1021,10,10,10,21,6,,0.00,,Fog,205
2011-10-3,27,21,15,13,11,6,82,51,34,1019,1017,1016,10,8,7,34,16,,0.00,,,214
2011-10-4,19,17,16,13,12,11,77,69,60,1020,1019,1018,10,10,10,26,18,,0.00,4,,240
2011-10-5,21,19,17,14,13,11,77,68,56,1017,1015,1011,10,10,10,37,27,53,0.00,4,,229
2011-10-6,15,13,11,7,3,1,67,53,39,1010,1009,1007,10,10,10,39,27,60,0.00,1,,256
2011-10-7,15,12,9,8,7,5,77,70,59,1020,1017,1014,10,10,10,29,19,40,0.00,2,Rain,291
2011-10-8,13,11,10,11,8,6,94,77,67,1021,1020,1018,10,10,6,26,18,,0.00,3,Rain,271
2011-10-9,21,18,15,15,14,14,94,78,64,1017,1016,1015,10,10,8,35,21,45,0.00,2,Rain,249
2011-10-10,21,18,16,13,12,11,77,66,56,1017,1016,1014,10,10,10,45,34,63,0.00,2,,248
2011-10-11,20,18,16,13,12,12,77,71,64,1019,1017,1016,10,10,10,42,32,55,0.00,2,,246
2011-10-12,19,17,15,14,12,11,88,70,60,1022,1019,1018,10,10,10,26,16,,0.00,3,,263
2011-10-13,16,14,14,13,11,8,94,78,67,1030,1029,1026,10,9,6,14,11,,0.00,4,,79
2011-10-14,15,11,6,5,4,3,81,59,48,1031,1030,1028,10,10,10,21,10,,0.00,3,,93
2011-10-15,15,8,2,7,6,1,93,68,55,1026,1024,1023,10,10,10,111,8,,0.00,,Fog,107
2011-10-16,17,9,1,10,7,0,93,74,55,1022,1022,1021,10,9,7,13,3,,0.00,1,Fog,237
2011-10-17,17,12,8,11,9,6,87,68,55,1020,1015,1009,10,10,10,40,18,50,0.00,2,,213
2011-10-18,13,10,8,6,2,-1,82,56,38,1011,1009,1007,10,10,10,34,21,48,0.00,1,,250
2011-10-19,13,9,5,4,2,0,81,62,44,1022,1017,1013,10,10,10,27,16,,0.00,1,Rain,282
2011-10-20,12,7,3,3,1,0,87,65,44,1027,1026,1025,10,10,10,21,8,,0.00,1,,289
2011-10-21,15,10,5,7,6,2,81,67,51,1024,1023,1022,10,10,10,23,10,,0.00,4,,202
2011-10-22,13,10,8,7,5,3,82,66,54,1017,1014,1011,10,10,10,23,14,,0.00,2,,160
2011-10-23,18,14,12,10,9,8,88,69,52,1009,1006,1004,10,10,10,24,18,37,0.00,1,,157
2011-10-24,14,12,10,9,8,8,87,74,67,999,996,993,10,10,10,24,16,39,0.00,1,,107
2011-10-25,17,13,10,11,9,7,88,73,55,999,997,995,10,10,10,19,8,34,0.00,1,Rain,152
2011-10-26,13,11,9,9,7,6,88,79,72,1007,1005,1003,10,10,6,19,11,,0.00,2,Rain,185
2011-10-27,14,12,11,11,9,8,82,80,77,1010,1007,1006,10,10,10,13,8,,0.00,2,Rain,134
2011-10-28,14,12,11,11,9,8,94,83,72,1023,1022,1019,10,8,6,10,5,,0.00,4,,38
2011-10-29,16,14,13,12,9,9,94,75,63,1020,1019,1018,10,9,3,23,14,,0.00,3,,211
2011-10-30,18,16,14,13,13,12,88,82,72,1018,1017,1017,10,10,9,27,18,,0.00,5,,205
2011-10-31,16,13,12,13,11,9,88,80,72,1015,1012,1009,10,10,9,26,13,,0.00,4,,169
