BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-9-1,18,14,11,12,10,9,94,67,56,1015,1014,1012,10,10,10,23,13,,0.00,2,,78
2011-9-2,26,20,14,17,15,12,94,68,47,1010,1010,1009,10,7,5,16,8,,0.00,1,,224
2011-9-3,26,20,15,16,15,14,94,69,51,1009,1008,1006,10,9,7,24,13,,0.00,2,,206
2011-9-4,21,17,13,16,14,9,88,77,68,1007,1006,1005,10,10,9,24,14,,0.00,3,Rain,201
2011-9-5,19,16,13,11,9,7,77,62,46,1014,1011,1008,10,10,10,39,27,60,0.00,2,,229
2011-9-6,18,17,15,15,13,9,88,81,67,1008,1005,1002,10,10,7,39,32,64,0.00,5,Rain,218
2011-9-7,17,14,13,9,9,8,72,63,59,1011,1010,1009,10,10,10,39,27,50,0.00,1,Rain,243
2011-9-8,19,17,14,14,12,10,88,71,64,1008,1007,1007,10,10,10,29,19,39,0.00,3,,234
2011-9-9,22,19,16,17,16,15,94,79,69,1010,1009,1008,10,10,6,24,14,,0.00,5,,220
2011-9-10,24,20,17,18,17,14,88,77,61,1004,1003,1002,10,10,9,27,16,,0.00,1,Rain,197
2011-9-11,21,18,16,13,11,9,82,64,49,1006,1005,1004,10,10,10,35,24,53,0.00,2,,221
2011-9-12,23,19,16,17,13,10,88,68,49,1008,1002,1000,10,10,7,48,32,66,0.00,4,,220
2011-9-13,20,17,13,11,8,4,77,59,43,1013,1011,1010,10,10,10,39,26,48,0.00,1,,241
2011-9-14,20,16,10,8,7,6,82,57,40,1018,1017,1016,10,10,10,29,19,,0.00,1,,256
2011-9-15,19,13,7,12,9,5,87,66,52,1020,1020,1019,10,10,10,14,5,,0.00,1,,108
2011-9-16,20,18,15,13,12,1,82,70,28,1015,1011,1008,10,10,9,19,13,,0.00,1,,130
2011-9-17,18,14,11,12,10,8,82,72,56,1007,1004,1002,10,10,10,32,19,47,0.00,2,Rain,222
2011-9-18,18,13,8,11,8,7,94,73,52,1005,1002,1001,10,10,10,14,8,,0.00,1,Rain,231
2011-9-19,19,14,11,12,9,8,82,64,49,1016,1013,1010,10,10,10,24,18,,0.00,2,,249
2011-9-20,20,18,15,14,13,12,82,75,68,1018,1017,1017,10,10,10,27,23,,0.00,5,,213
2011-9-21,18,16,13,14,11,7,94,74,52,1016,1015,1014,10,9,2,29,11,,0.00,3,Rain,235
2011-9-22,19,16,13,10,8,6,82,60,43,1019,1019,1018,10,10,10,24,14,,0.00,1,,255
2011-9-23,19,14,10,10,9,8,88,67,52,1019,1016,1015,10,10,10,21,10,,0.00,1,,216
2011-9-24,20,13,6,14,12,5,94,72,56,1014,1014,1013,10,9,3,14,5,,0.00,1,Fog,168
2011-9-25,22,17,12,13,12,11,94,68,53,1016,1015,1015,10,10,9,27,16,,0.00,1,Fog,193
2011-9-26,24,20,15,15,14,13,88,73,53,1024,1021,1017,10,10,10,24,14,,0.00,3,,227
2011-9-27,23,17,11,15,13,10,100,80,57,1029,1028,1027,10,7,1,11,5,,0.00,3,Fog,202
2011-9-28,23,17,10,17,15,9,100,79,61,1027,1025,1024,9,6,0,16,5,,0.00,4,Fog,95
2011-9-29,26,18,10,17,14,9,94,68,50,1024,1023,1022,10,6,0,13,3,,0.00,1,Fog,114
2011-9-30,28,18,9,16,14,8,94,62,39,1023,1022,1021,10,7,4,13,5,,0.00,,Fog,163
